aa	ɑ ɑ
abidingness	ə b a ɪ d ɪ ŋ n ə s
abier	ə b ɪ ə ɹ
abietate	æ b i ə t e ɪ t
abietene	æ b i ə t i n
abietic	æ b i ɛ t ɪ k
abilao	æ b ə l a ʊ
abilo	æ b i l o ʊ
abimelech	ə b ɪ m ə l ɛ k
abingdon	æ b ɪ ŋ d n̩
abiogenesis	e ɪ b a i o ʊ d͡ʒ ɛ n ə s ɪ s
abiogenetic	e ɪ b a i o ʊ d͡ʒ ɛ n ə t ɪ k
abiogenetical	e ɪ b a i o ʊ d͡ʒ ɛ n ə t ə k ə l
abiogenist	e ɪ b a i ɑ d͡ʒ ɛ n ə s t
abiogenous	æ b i ɑ d͡ʒ ə n ə s
abiosis	e ɪ b i o ʊ s ɪ s
abiotic	e ɪ b a ɪ ɑ t ɪ k
abiotically	e ɪ b a ɪ ɑ t ɪ k l i
abipones	æ b ə p o ʊ n i z
abir	ə b ɪ ɹ
abiraterone	æ b ɪ ɹ æ t ə ɹ o ʊ n
abirritant	æ b ɪ ɹ ɪ t n̩ t
abirritate	æ b ɪ ɹ ɪ t e ɪ t
abirritation	æ b ɪ ɹ ɪ t e ɪ ʃ n̩
abirritative	æ b ɪ ɹ ɪ t e ɪ t ɪ v
abite	ə b a ɪ t
abiturient	æ b i t u ɹ i ɛ n t
abjectedness	æ b d͡ʒ ɛ k t ə d n ə s
abjection	æ b d͡ʒ ɛ k ʃ n̩
abjective	æ b d͡ʒ ɛ t ɪ v
abjectly	æ b d͡ʒ ɛ k t l i
abjectness	æ b d͡ʒ ɛ k t n ə s
abjoint	æ b d͡ʒ ɔ ɪ n t
abjudication	ə b d͡ʒ u d ɪ k e ɪ ʃ ə n
abjugate	æ b d͡ʒ ə ɡ e ɪ t
abjunction	æ b d͡ʒ ʌ ŋ k ʃ ə n
abjunctive	æ b d͡ʒ ʌ ŋ k t ɪ v
abjuratory	æ b d͡ʒ ʊ ɹ ə t ɔ ɹ i
abjure	æ b d͡ʒ ʊ ɹ
abjurement	ə b d͡ʒ ʊ ə ɹ m ə n t
abjurer	æ b d͡ʒ ʊ ɹ ɚ
abkari	ɑ b k ɑ ɹ i
ablactate	æ b l æ k t e ɪ t
ablactation	æ b l æ k t e ɪ ʃ n̩
ablare	ə b l ɛ ɹ
ablastin	ə b l æ s t ə n
ablastous	e ɪ b l æ s t ə s
ablate	ə b l e ɪ t
ablative	æ b l ə t ɪ v
ablatively	æ b l ə t a ɪ v l i
ablaze	ə b l e ɪ z
ableist	e ɪ b ə l ɪ s t
ableness	e ɪ b l̩ n ə s
ablepharia	æ b l̩ f e ɪ ɹ i ə
ablepharous	æ b l ɜ f ə ɹ ʌ s
ablephary	æ b l ɛ f ə ɹ i
ablepsia	ə b l ɛ p s i ə
abligation	ɑ b l ə ɡ e ɪ ʃ ə n
abligurition	ə b l ɪ ɡ j ʊ ɹ ɪ ʃ ə n
ablings	e ɪ b l ɪ n z
ablood	ə b l ʌ d
abloom	ə b l u m
ablow	ə b l o ʊ
ablude	ə b l u d
abluent	æ b l u n̩ t
ablur	ə b l ɜ ɹ
ablution	ə b l u ʃ n̩
abmho	æ b m o ʊ
abmigration	æ b m a ɪ ɡ ɹ e ɪ ʃ ə n
abnegative	æ b n ɛ ɡ ə t ɪ v
abnormalism	æ b n ɔ ɹ m l̩ ɪ z m̩
abnormally	æ b n ɔ ɹ m ə l i
abnormalness	æ b n ɔ ɹ m l̩ n ə s
abnormity	æ b n ɔ ɹ m ɪ t i
aboard	ə b ɔ ɹ d
abob	ə b ɑ b
abode	ə b o ʊ d
abodement	ə b o ʊ d m n̩ t
aboding	ə b o ʊ d ɪ ŋ
aboideaux	ɑ b w ɑ d o ʊ
aboiteaux	ɑ b w ɑ t o ʊ
abolished	ə b ɑ l ɪ ʃ t
abolishment	ə b ɑ l ɪ ʃ m ə n t
abolition	æ b ə l ɪ ʃ n̩
abolitionary	æ b ə l ɪ ʃ ə n ɛ ɹ i
abolitiondom	æ b ə l ɪ ʃ n̩ d ə m
abolitionism	æ b ə l ɪ ʃ ə n ɪ z m̩
abolitionize	æ b ə l ɪ ʃ n̩ a ɪ z
abolla	ə b ɔ l ə
aboma	ə b o ʊ m ə
abomasum	æ b o ʊ m e ɪ s ə m
abomasus	æ b o ʊ m e ɪ s ə s
abongo	ə b ɑ ŋ ɡ o ʊ
abonnement	æ b ɔ n m ɑ̃
abonnements	æ b ɔ n m ɑ̃
aboospore	æ b o ʊ ə s p ɔ ɹ
aborad	æ b ɔ ɹ æ d
aboral	æ b ɔ ɹ l̩
aborally	æ b ɔ ɹ ə l i
abord	ə b ɔ ɹ d
abordage	ə b ɔ ɹ d ɪ d͡ʒ
aborigen	æ b ɔ ɹ ə d͡ʒ ə n
aborning	ə b ɔ ɹ n ɪ ŋ
aborsement	ə b ɔ ɹ s m ə n t
abort	ə b ɔ ɹ t
aborted	ə b ɔ r t ɪ d
abortee	ə b ɔ ɹ t i
abortin	ə b ɔ ɹ t n̩
abortion	ə b ɔ ɹ ʃ n̩
abortionist	ə b ɔ ɹ ʃ ə n ɪ s t
abortive	ə b ɔ ɹ t ɪ v
abortively	ə b ɔ ɹ t ɪ v l i
abortiveness	ə b ɔ ɹ t ɪ v n ə s
abortogenic	ə b ɔ ɹ t ə d͡ʒ ɛ n ɪ k
abortoria	æ b ɔ ɹ t ɔ ɹ i ə
abortoriums	æ b ɔ ɹ t ɔ ə ɹ i ə m z
abortus	ə b ɔ ɹ t ə s
abought	ə b ɔ t
abound	ə b a ʊ n d
about	ə b a ʊ t
aboutness	ə b a ʊ t n ə s
abouts	ə b a ʊ t s
abovementioned	ə b ʌ v m ɛ n ʃ ə n d
abox	ə b ɑ k s
abozzi	ə b ɔ t s o ʊ
abracadabra	æ b ɹ ə k ə d æ b ɹ ə
abrachia	ə b ɹ e ɪ k i ə
abradant	ə b ɹ e ɪ d n̩ t
abrade	ə b ɹ e ɪ d
abrader	ə b ɹ e ɪ d ɚ
abrahamic	e ɪ b ɹ ə h æ m ɪ k
abram	e ɪ b ɹ ə m
abramman	e ɪ b ɹ ə m m æ n
abrams	e ɪ b ɹ ə m z
abranchious	e ɪ b ɹ æ ŋ k i ə s
abrase	ə b ɹ e ɪ z
abrasion	ə b ɹ e ɪ ʒ n̩
abrasional	ə b ɹ e ɪ ʒ n̩ l̩
abraum	ɑ p ɹ a ʊ m
abraxas	ə b ɹ æ k s ə s
abreact	æ b ɹ i æ k t
abreactive	æ b ɹ i æ k t ɪ v
abreast	ə b ɹ ɛ s t
abreed	ə b ɹ i d
abrenounce	æ b ɹ i n a ʊ n t s
abrenunciation	æ b ɹ i n ʌ n s i e ɪ ʃ n̩
abreuvoir	ə b ɹ u v w ɑ ɹ
abridge	ə b ɹ ɪ d͡ʒ
abridged	ə b ɹ ɪ d͡ʒ d
abridges	ə b ɹ ɪ d͡ʒ ɪ z
abridging	ə b ɹ ɪ d͡ʒ ɪ ŋ
abrim	ə b ɹ ɪ m
abroach	ə b ɹ o ʊ t͡ʃ
abroad	ə b ɹ ɔ d
abrocome	æ b ɹ ə k o ʊ m
abrogable	æ b ɹ ə ɡ ə b l̩
abrogation	æ b ɹ ə ɡ e ɪ ʃ n̩
abrogationist	æ b ɹ ə ɡ e ɪ ʃ n̩ ɪ s t
abrogator	æ b ɹ ə ɡ e ɪ t ɚ
abronia	ə b ɹ o ʊ n i ə
abrook	ə b ɹ ʊ k
abrotanum	ə b ɹ ɑ t n̩ ə m
abrotine	æ b ɹ ə t i n
abruption	ə b ɹ ʌ p ʃ n̩
abruzzi	ɑ b ɹ u t t s i
abs	æ b z
absalom	æ b s ə l ə m
absaroka	æ b s ɑ ɹ ə k ə
absatively	æ b s ə t ɪ v l i
abscise	æ b s a ɪ z
abscisic	æ b s ɪ s ɪ k
absciss	æ b s ɪ s
abscissa	æ b s ɪ s ə
absconce	æ b s k ɑ n s
abscond	ə b s k ɑ n d
absconsio	æ b s k ɑ n s i o ʊ
abscopal	æ b s k o ʊ p l̩
absentee	æ b s n̩ t i
absenteeism	æ b s ə n t i ɪ z m̩
absenteeship	æ b s n̩ t i ʃ ɪ p
absinth	æ b s ɪ n θ
absinthin	æ b s ɪ n θ ɪ n
absinthism	æ b s ə n θ ɪ z m̩
absinthismic	æ b s ə n θ ɪ z m ə k
absinthium	æ b s ɪ n θ i m̩
absolutely	æ b s ə l u t l i
absolution	æ b s ə l j u ʃ n̩
absolutist	æ b s ə l u t ɪ s t
absolutistic	æ b s ə l u t ɪ s t ɪ k
absolutory	æ b s ɑ l j ə t ɔ ɹ i
absonous	æ b s ə n ə s
abstemious	æ b s t i m i ə s
abstinence	æ b s t ɪ n ə n s
abstracter	æ b s t ɹ k æ t ɚ
abstractionism	æ b s t ɹ æ k ʃ n̩ ɪ z m̩
abstractionist	æ b s t ɹ æ k ʃ ə n ə s t
abstractitious	æ b s t ɹ æ k t ɪ ʃ ə s
abstractively	æ b s t ɹ æ k t ɪ v l i
abstractly	æ b s t ɹ æ k t l i
abstractor	æ b s t ɹ æ k t ɚ
abstractum	æ b s t ɹ æ k t m̩
abstrict	æ b s t ɹ ɪ k t
abstricted	æ b s t ɹ ɪ k t ə d
abstriction	æ b s t ɹ ɪ k ʃ n̩
abstringe	ə b s t ɹ ɪ n d͡ʒ
abstruse	æ b s t ɹ u s
abthane	ə b t e ɪ n
abubble	ə b ʌ b l̩
abud	ə b ʌ d
abugida	ɑ b u ɡ i d ə
abuilding	ə b ɪ l d ɪ ŋ
abuja	ə b u d͡ʒ ə
abulfeda	ɑ b u l f ɛ d ɑ
aburn	ə b ɜ ɹ n
aburst	ə b ɝ s t
aburton	ə b ɝ t n̩
abusable	ə b j u z ə b l̩
abusage	ə b j u s ɪ d͡ʒ
abused	ə b j u z d
abuser	ə b j u z ɚ
abusion	ə b j u ʒ n̩
abustle	ə b ʌ s l̩
abut	ə b ʌ t
abutment	ə b ʌ t m n̩ t
abuts	ə b ʌ t s
abutt	ə b ʌ t
abuttal	ə b ʌ t l̩
abuttals	ə b ʌ t l̩ z
abutter	ə b ʌ t ɚ
abutting	ə b ʌ t ɪ ŋ
abuzz	ə b ʌ z
abvolt	æ b v o ʊ l t
abwab	ə b w ɑ b
abwatt	æ b w ɑ t
abydene	æ b ɪ d i n
abydocomist	æ b ɪ d ə k o ʊ m ɪ s t
abye	ə b a ɪ
abysm	ə b ɪ z m̩
abysmally	ə b ɪ z m l̩ i
abyssal	ə b ɪ s l̩
abyssalpelagic	ə b ɪ s l̩ p ə l æ d͡ʒ ɪ k
abyssian	ə b ɪ s i ə n
abyssolithic	ə b ɪ s ə l ɪ θ ɪ k
abyssopelagic	ə b ɪ s o ʊ p ə l æ d͡ʒ ɪ k
acacia	ə k e ɪ ʃ ə
academe	æ k ə d i m
academian	æ k ə d i m i n̩
academicals	æ k ə d ɛ m ɪ k l̩ z
academicism	æ k ə d ɛ m ə s ɪ z m̩
academicize	æ k ə d ɛ m ə s a ɪ z
academics	æ k ə d ɛ m ɪ k s
academies	ə k æ d ə m i z
academism	ə k æ d ə m ɪ z ə m
academist	ə k æ d ɪ m ɪ s t
academy	ə k æ d ə m i
acadia	ə k e ɪ d i ə
acalculia	e ɪ k æ l k j u l i ə
acalculiac	e ɪ k æ l k j u l ɪ ə k
acaleph	æ k ə l ɜ f
acalepha	æ k ə l i f ə
acalephe	æ k ə l i f
acalycinous	e ɪ k ə l ɪ s n̩ ə s
acampsia	ə k æ m p s i ə
acanth	ə k æ n θ
acanthamebiases	ə k æ n θ ə m i b a ɪ ə s i s
acanthamebiasis	ə k æ n θ ə m i b a ɪ ə s ɪ s
acanthamoeba	ə k æ n θ ə m i b ə
acanthamoebiases	ə k æ n θ ə m i b a ɪ ə s i s
acanthocephaliases	æ k æ n θ o ʊ s ɜ f ə l a ɪ ə s i s
acanthocephaliasis	æ k æ n θ o ʊ s ɜ f ə l a ɪ ə s ɪ s
acanthocyte	ə k æ n θ o ʊ s a ɪ t
acanthocytoses	ə k æ n θ o ʊ s a ɪ t o ʊ s i s
acanthocytosis	ə k æ n θ o ʊ s a ɪ t o ʊ s ɪ s
acanthoid	ə k æ n θ ɔ ɪ d
acanthokeratodermia	ə k æ n θ o ʊ k ɜ ɹ ə t o ʊ d ɝ m i ə
acanthoma	ə k æ n θ o ʊ m ə
acanthopelvis	ə k æ n θ o ʊ p ɜ l v ɪ s
acanthopod	ə k æ n θ ə p ɑ d
acanthopore	ə k æ n θ ə p ɔ ɹ
acanthopteran	æ k æ n θ ɑ p t ə ɹ ə n
acanthopterygian	æ k æ n θ ɑ p t ə ɹ ɪ d͡ʒ i n̩
acanthor	ə k æ n θ ɔ ɹ
acanthoses	æ k æ n θ o ʊ s i s
acanthosis	æ k æ n θ o ʊ s ɪ s
acanthosomata	ə k æ n θ ə s o ʊ m ə t ə
acanthpelyx	ə k æ n θ o ʊ p ɜ l ɪ k s
acanthus	ə k æ n θ ə s
acapsular	e ɪ k æ p s ə l ɚ
acarbose	e ɪ k ɑ ɹ b o ʊ s
acariasis	æ k ə ɹ a ɪ ə s ɪ s
acaricide	ə k ɛ ɹ ə s i d
acarid	æ k ə ɹ ɪ d
acarnanian	ɔ k ɔ ɹ n e ɪ n i ə n
acaroid	æ k ə ɹ ɔ ɪ d
acarology	æ k ə ɹ ɔ l ə d͡ʒ i
acarophobia	æ k ə ɹ ə f o ʊ b i ə
acarpous	e ɪ k ɑ ɹ p ə s
acars	e ɪ k ɑ ɹ s
acatalectic	e ɪ k æ t ə l ɛ k t ɪ k
acaudate	e ɪ k ɔ d e ɪ t
acaulous	e ɪ k ɔ l ə s
accede	æ k s i d
accelerando	ɑ t͡ʃ ɛ l ə ɹ ɑ n d o
acceleratingly	æ k s ɛ l ə ɹ e ɪ t ɪ ŋ l i
accendible	ə k s ɛ n d ɪ b ə l
accent	æ k s ɛ n t
accentless	æ k s ɛ n t l ə s
accents	æ k s ɛ n t s
accentually	æ k s ɛ n t͡ʃ u ə l i
accept	ə k s ɛ p t
acceptability	æ k s ɛ p t ə b ɪ l ə t i
acceptableness	æ k s ɛ p t ə b ə l n ə s
acceptably	æ k s ɛ p t ə b l i
acceptation	æ k s ɛ p t e ɪ ʃ ə n
accepted	æ k s ɛ p t ɪ d
accepter	æ k s ɛ p t ɚ
accepting	ə k s ɛ p t ɪ ŋ
acceptive	æ k s ɛ p t ɪ v
accepts	ə k s ɛ p t s
accessibility	æ k s ɛ s ə b ɪ l ə t i
accessible	ə k s ɛ s ə b ə l
accessibly	æ k s ɛ s ə b l i
accessorial	æ k s ə s ɔ ɹ i ə l
accessorize	ə k s ɛ s ə ɹ a ɪ z
acciaccatura	ə t͡ʃ ɑ k ə t ʊ ɹ ə
accidental	æ k s ɪ d ɛ n t l̩
accidentally	æ k s ə d ɛ n t ə l i
accidie	æ k s ə d i
accinge	æ k s ɪ n d͡ʒ
accipient	ə k s ɪ p i ə n t
accipiter	æ k s ɪ p ə t ɚ
accismus	æ k s ɪ z m ə s
accite	ə k s a ɪ t
acclaim	ə k l e ɪ m
acclaimed	ə k l e ɪ m d
acclaiming	ə k l e ɪ m ɪ ŋ
acclaims	ə k l e ɪ m z
acclamation	æ k l ə m e ɪ ʃ ə n
acclamatory	ə k l æ m ə t ɔ ɹ i
acclimatation	æ k l ɪ m e ɪ ʃ ə n
acclimation	æ k l ə m e ɪ ʃ ə n
acclimatization	ə k l a ɪ m ə t ə z e ɪ ʃ ə n
acclimatizational	ə k l a ɪ m ə t ɪ z e ɪ ʃ ə n ə l
acclimatize	ə k l a ɪ m ə t a ɪ z
acclivitous	ə k l ɪ v ɪ t ə s
acclivity	ə k l ɪ v ə t i
accloy	ə k l ɔ ɪ
accoil	æ k k ɔ ɪ l
accommodate	ə k ɑ m ə d e ɪ t
accommodating	ə k ɔ m ə d e ɪ t ɪ ŋ
accommodatingly	ə k ɔ m ə d e ɪ t ɪ ŋ l i
accommodative	ə k ɔ m ə d e ɪ t ɪ v
accommodator	ə k ɔ m ə d e ɪ t ɚ
accomplicity	æ k ɔ m p l ɪ s ɪ t i
accomplish	ə k ɑ m p l ɪ ʃ
accomplishable	ə k ɔ m p l ɪ ʃ ə b ə l
accomplished	ə k ɑ m p l ɪ ʃ t
accomplishment	ə k ɑ m p l ɪ ʃ m ə n t
accomplishments	ə k ɑ m p l ɪ ʃ m ə n t s
accompt	ə k ɔ m p t
accord	ə k ɔ ɹ d
accordancy	ə k ɔ ɹ d ə n s i
accordant	ə k ɔ ɹ d ə n t
accordantly	ə k ɔ d ə n t l i
accorded	ə k ɔ ɹ d ɪ d
according	ə k ɔ ɹ d ɪ ŋ
accordingly	ə k ɔ ɹ d ɪ ŋ l i
accordion	ə k ɔ ɹ d i ə n
accordionist	ə k ɔ ɹ d i ə n ə s t
accouchement	ə k u ʃ m ə n t
accoucheur	æ k u ʃ ɝ
account	ə k a ʊ n t
accountability	ə k a ʊ n t ə b ɪ l ə t i
accountable	ə k a ʊ n t ə b l̩
accountableness	ə k a ʊ n t ə b ə l n ə s
accountancy	ə k a ʊ n t ə n s i
accountant	ə k æ ʊ n t ə n̩ t
accountantship	ə k a ʊ n t ə n t͡ʃ ɪ p
accounted	ə k a ʊ n t ɪ d
accounting	ə k a ʊ n t ɪ ŋ
accounts	ə k a ʊ n t s
accouple	ə k ʌ p ə l
accouplement	ə k ʌ p ə l m ə n t
accouter	ə k u t ɚ
accoutre	ə k u t ə
accreditation	ə k ɹ ɛ d ɪ t e ɪ ʃ ə n
accretion	ə k ɹ i ʃ ə n
accretionary	ə k ɹ i ʃ ə n ɛ ɹ i
accretive	ə k ɹ i t ɪ v
accroides	ə k ɹ ɔ ɪ d i z
accrual	ə k ɹ u ə l
accrue	ə k ɹ u
accrued	ə k ɹ u d
accruement	ə k ɹ u m ə n t
accrues	ə k ɹ u z
accruing	ə k ɹ u ɪ ŋ
accubation	ɑ k j u b e ɪ ʃ ə n
acculturate	ə k ʌ l t͡ʃ ə ɹ e ɪ t
acculturation	ə k ʌ l t͡ʃ ə ɹ e ɪ ʃ ə n
acculturative	ə k ʌ l t͡ʃ ə ɹ e ɪ t ɪ v
acculture	ə k ʌ l t͡ʃ ə ɹ
accumbent	ə k ʌ m b ə n t
accumulable	ə k j u m j ə l ə b ə l
accumulate	ə k j u m j ə l e ɪ t
accumulated	ə k j u m j ə l e ɪ t ɪ d
accumulatio	ə k ʊ m j u l ɑ t i o
accumulator	ə k j u m j ə l e ɪ t ɚ
accuracy	æ k j ɚ ə s i
accurate	æ k j ə ɹ ɪ t
accurateness	æ k j ə ɹ ə t n ə s
accursed	ə k ɝ s ɪ d
accursedly	ə k ɚ s ə d l i
accursedness	ə k ɚ s ə d n ə s
accusable	ə k j u z ə b l
accusant	ə k j u z ə n t
accusative	ə k j u z ə t ɪ v
accusatorial	ə k j u z ə t ɔ ɹ i ə l
accusatory	ə k j u z ə t ɔ ɹ i
accusingly	ə k j u z ɪ ŋ l i
accustom	ə k ʌ s t ə m
accustomably	ə k ʌ s t ə m ə b l i
accustomed	ə k ʌ s t ə m d
accustomedness	ə k ʌ s t ə m d n ɪ s
ace	e ɪ s
acebutolol	æ s ə b j u t ə l ɔ l
aced	e ɪ s t
acedia	ə s i d ɪ ə
acephalocystic	e ɪ s ɛ f ə l o ʊ s ɪ s t ɪ k
acephalous	ə s ɛ f ə l ə s
acerb	ə s ɜ ɹ b
acerbate	æ s ə ɹ b e ɪ t
acerbic	ə s ɜ ɹ b ɪ k
acerbity	ə s ɝ b ɪ d i
acerglyn	e ɪ s ə ɹ ɡ l ɪ n
aceric	æ s ɜ ɹ ɪ k
acerola	æ s ə ɹ o ʊ l ə
acerval	ə s ɚ v ə l
acervate	æ s ɚ v e ɪ t
acervation	æ s ɚ v e ɪ ʃ ə n
acervative	ə s ɝ v ə t ɪ v
aces	e ɪ s ɪ z
acescence	ə s ɛ s ə n s
acescent	ə s i s ə n t
acetable	æ s ɪ t ə b ə l
acetabular	æ s ɪ t æ b j ə l ɚ
