ააგო	ɑ ɑ ɡ ɔ
ადამიანები	ɑ d ɑ m i ɑ n ɛ b i
ადამიანი	ɑ d ɑ m i ɑ n i
ადამიანით	ɑ d ɑ m i ɑ n i tʰ
ადამიანმა	ɑ d ɑ m i ɑ n m ɑ
ადამიანს	ɑ d ɑ m i ɑ n s
ადამიანურად	ɑ d ɑ m i ɑ n u r ɑ d
ადამიანური	ɑ d ɑ m i ɑ n u r i
ადაპტაცია	ɑ d ɑ pʼ tʼ ɑ t͡s i ɑ
ადარებს	ɑ d ɑ r ɛ b s
ადგილას	ɑ d ɡ i l ɑ s
ადგილი	ɑ d ɡ i l i
ადგილობრივი	ɑ d ɡ i l ɔ b r i v i
ადევნებს	ɑ d ɛ v n ɛ b s
ადეკვატურად	ɑ d ɛ kʼ v ɑ tʼ u r ɑ d
ადეკვატური	ɑ d ɛ kʼ v ɑ tʼ u r i
ადეკვატურობა	ɑ d ɛ kʼ v ɑ tʼ u r ɔ b ɑ
ადვილად	ɑ d v i l ɑ d
ადვილი	ɑ d v i l i
ადმინისტრაციულად	ɑ d m i n i s tʼ r ɑ t͡s i u l ɑ d
ადმინისტრაციული	ɑ d m i n i s tʼ r ɑ t͡s i u l i
ადრე	ɑ d r ɛ
ადრესატი	ɑ d r ɛ s ɑ tʼ i
ადრეული	ɑ d r ɛ u l i
აეროდრომი	ɑ ɛ r ɔ d r ɔ m i
აეხსნა	ɑ ɛ x s n ɑ
ავად	ɑ v ɑ d
ავადმყოფობა	ɑ v ɑ d m qʼ ɔ pʰ ɔ b ɑ
ავადმყოფობს	ɑ v ɑ d m qʼ ɔ pʰ ɔ b s
ავადმყოფური	ɑ v ɑ d m qʼ ɔ pʰ u r i
ავალდებულებს	ɑ v ɑ l d ɛ b u l ɛ b s
ავარია	ɑ v ɑ r i ɑ
ავბედითი	ɑ v b ɛ d i tʰ i
ავეჯი	ɑ v ɛ d͡ʒ i
ავზი	ɑ v z i
ავთვისებიანი	ɑ v tʰ v i s ɛ b i ɑ n i
ავი	ɑ v i
ავიაკომპანია	ɑ v i ɑ kʼ ɔ m pʼ ɑ n i ɑ
ავიატორი	ɑ v i ɑ tʼ ɔ r i
ავინიონი	ɑ v i n i ɔ n i
ავიწროვებს	ɑ v i t͡sʼ r ɔ v ɛ b s
ავლებს	ɑ v l ɛ b s
ავრორა	ɑ v r ɔ r ɑ
ავრცელებს	ɑ v r t͡s ɛ l ɛ b s
ავსტრალია	ɑ v s tʼ r ɑ l i ɑ
ავსტრალიური	ɑ v s tʼ r ɑ l i u r i
ავსტრია	ɑ v s tʼ r i ɑ
ავსტრიული	ɑ v s tʼ r i u l i
ავტოგრაფი	ɑ v tʼ ɔ ɡ r ɑ pʰ i
ავტოკალამი	ɑ v tʼ ɔ kʼ ɑ l ɑ m i
ავტოკოლონა	ɑ v tʼ ɔ kʼ ɔ l ɔ n ɑ
ავტოკრატია	ɑ v tʼ ɔ kʼ r ɑ tʼ i ɑ
ავტოკრატიული	ɑ v tʼ ɔ kʼ r ɑ tʼ i u l i
ავტომატურად	ɑ v tʼ ɔ m ɑ tʼ u r ɑ d
ავტომატური	ɑ v tʼ ɔ m ɑ tʼ u r i
ავტონომია	ɑ v tʼ ɔ n ɔ m i ɑ
ავტონომიური	ɑ v tʼ ɔ n ɔ m i u r i
ავტორად	ɑ v tʼ ɔ r ɑ d
ავტორები	ɑ v tʼ ɔ r ɛ b i
ავტორი	ɑ v tʼ ɔ r i
ავტორის	ɑ v tʼ ɔ r i s
ავტორიტარული	ɑ v tʼ ɔ r i tʼ ɑ r u l i
ავტორიტეტულად	ɑ v tʼ ɔ r i tʼ ɛ tʼ u l ɑ d
ავტორმა	ɑ v tʼ ɔ r m ɑ
ავტორს	ɑ v tʼ ɔ r s
ავტოსადგომი	ɑ v tʼ ɔ s ɑ d ɡ ɔ m i
ავტოსტოპად	ɑ v tʼ ɔ s tʼ ɔ pʼ ɑ d
ავტოსტოპმა	ɑ v tʼ ɔ s tʼ ɔ pʼ m ɑ
ავღანეთი	ɑ v ɣ ɑ n ɛ tʰ i
ავღანელი	ɑ v ɣ ɑ n ɛ l i
ავღანური	ɑ v ɣ ɑ n u r i
ავხორცი	ɑ v x ɔ r t͡s i
აზარტული	ɑ z ɑ r tʼ u l i
აზერბაიჯანი	ɑ z ɛ r b ɑ i d͡ʒ ɑ n i
აზვირთებული	ɑ z v i r tʰ ɛ b u l i
აზიური	ɑ z i u r i
აზოტი	ɑ z ɔ tʼ i
აზრად	ɑ z r ɑ d
აზრი	ɑ z r i
აზრიანი	ɑ z r i ɑ n i
აზრით	ɑ z r i tʰ
აზრის	ɑ z r i s
აზრმა	ɑ z r m ɑ
აზროვნება	ɑ z r ɔ v n ɛ b ɑ
აზრს	ɑ z r s
აზღუდი	ɑ z ɣ u d i
ათავისუფლებს	ɑ tʰ ɑ v i s u pʰ l ɛ b s
ათარიღებს	ɑ tʰ ɑ r i ɣ ɛ b s
ათასი	ɑ tʰ ɑ s i
ათასწლეული	ɑ tʰ ɑ s t͡sʼ l ɛ u l i
ათბობს	ɑ tʰ b ɔ b s
ათეიზმი	ɑ tʰ ɛ i z m i
ათეისტი	ɑ tʰ ɛ i s tʼ i
ათენი	ɑ tʰ ɛ n i
ათეული	ɑ tʰ ɛ u l i
ათვალიერებს	ɑ tʰ v ɑ l i ɛ r ɛ b s
ათი	ɑ tʰ i
ათლეტი	ɑ tʰ l ɛ tʼ i
ათლეტური	ɑ tʰ l ɛ tʼ u r i
ათრევს	ɑ tʰ r ɛ v s
ათქვეფილი	ɑ tʰ kʰ v ɛ pʰ i l i
აი	ɑ i
აიდა	ɑ i d ɑ
აივანი	ɑ i v ɑ n i
აირი	ɑ i r i
აირღუმელი	ɑ i r ɣ u m ɛ l i
აისბერგი	ɑ i s b ɛ r ɡ i
აკადემია	ɑ kʼ ɑ d ɛ m i ɑ
აკადემიად	ɑ kʼ ɑ d ɛ m i ɑ d
აკადემიამ	ɑ kʼ ɑ d ɛ m i ɑ m
აკადემიას	ɑ kʼ ɑ d ɛ m i ɑ s
აკადემიით	ɑ kʼ ɑ d ɛ m i i tʰ
აკადემიის	ɑ kʼ ɑ d ɛ m i i s
აკადემიურად	ɑ kʼ ɑ d ɛ m i u r ɑ d
აკადემიური	ɑ kʼ ɑ d ɛ m i u r i
აკეთებს	ɑ kʼ ɛ tʰ ɛ b s
აკვანთა	ɑ kʼ v ɑ n tʰ ɑ
აკვანი	ɑ kʼ v ɑ n i
აკვანს	ɑ kʼ v ɑ n s
აკვარიუმი	ɑ kʼ v ɑ r i u m i
აკვედუკი	ɑ kʼ v ɛ d u kʼ i
აკვიატება	ɑ kʼ v i ɑ tʼ ɛ b ɑ
აკვიატებული	ɑ kʼ v i ɑ tʼ ɛ b u l i
აკვირვებს	ɑ kʼ v i r v ɛ b s
აკვნებს	ɑ kʼ v n ɛ b s
აკვნის	ɑ kʼ v n i s
აკლდამა	ɑ kʼ l d ɑ m ɑ
აკლებს	ɑ kʼ l ɛ b s
აკლია	ɑ kʼ l i ɑ
აკრავს	ɑ kʼ r ɑ v s
აკრისტალებს	ɑ kʼ r i s tʼ ɑ l ɛ b s
აკრძალვითად	ɑ kʼ r d͡z ɑ l v i tʰ ɑ d
აკრძალული	ɑ kʼ r d͡z ɑ l u l i
აკუთა	ɑ kʼ u tʰ ɑ
აკუმულატორი	ɑ kʼ u m u l ɑ tʼ ɔ r i
აკურატულად	ɑ kʼ u r ɑ tʼ u l ɑ d
აკურატული	ɑ kʼ u r ɑ tʼ u l i
აკურთხებს	ɑ kʼ u r tʰ x ɛ b s
აკუსტიკა	ɑ kʼ u s tʼ i kʼ ɑ
აკუსტიკური	ɑ kʼ u s tʼ i kʼ u r i
ალაგი	ɑ l ɑ ɡ i
ალადასტური	ɑ l ɑ d ɑ s tʼ u r i
ალადინი	ɑ l ɑ d i n i
ალაზანი	ɑ l ɑ z ɑ n i
ალალი	ɑ l ɑ l i
ალამი	ɑ l ɑ m i
ალაო	ɑ l ɑ ɔ
ალასანია	ɑ l ɑ s ɑ n i ɑ
ალაჰი	ɑ l ɑ h i
ალბათ	ɑ l b ɑ tʰ
ალბათობა	ɑ l b ɑ tʰ ɔ b ɑ
ალბანეთი	ɑ l b ɑ n ɛ tʰ i
ალბინოსი	ɑ l b i n ɔ s i
ალბომად	ɑ l b ɔ m ɑ d
ალბომი	ɑ l b ɔ m i
ალბომით	ɑ l b ɔ m i tʰ
ალბომის	ɑ l b ɔ m i s
ალბომმა	ɑ l b ɔ m m ɑ
ალბომს	ɑ l b ɔ m s
ალგორითმი	ɑ l ɡ ɔ r i tʰ m i
ალეგორია	ɑ l ɛ ɡ ɔ r i ɑ
ალეპო	ɑ l ɛ pʼ ɔ
ალერგია	ɑ l ɛ r ɡ i ɑ
ალერგიული	ɑ l ɛ r ɡ i u l i
ალერსი	ɑ l ɛ r s i
ალერსიანი	ɑ l ɛ r s i ɑ n i
ალერსით	ɑ l ɛ r s i tʰ
ალექსანდრა	ɑ l ɛ kʰ s ɑ n d r ɑ
ალექსანდრე	ɑ l ɛ kʰ s ɑ n d r ɛ
ალვა	ɑ l v ɑ
ალი	ɑ l i
ალიაქოთი	ɑ l i ɑ kʰ ɔ tʰ i
ალიბი	ɑ l i b i
ალიგატორი	ɑ l i ɡ ɑ tʼ ɔ r i
ალიკაპი	ɑ l i kʼ ɑ pʼ i
ალისფერი	ɑ l i s pʰ ɛ r i
ალკოჰოლი	ɑ l kʼ ɔ h ɔ l i
ალკოჰოლიანი	ɑ l kʼ ɔ h ɔ l i ɑ n i
ალკოჰოლური	ɑ l kʼ ɔ h ɔ l u r i
ალმასი	ɑ l m ɑ s i
ალმოდებული	ɑ l m ɔ d ɛ b u l i
ალოე	ɑ l ɔ ɛ
ალპინისტი	ɑ l pʼ i n i s tʼ i
ალპური	ɑ l pʼ u r i
ალჟირი	ɑ l ʒ i r i
ალტერნატივა	ɑ l tʼ ɛ r n ɑ tʼ i v ɑ
ალტი	ɑ l tʼ i
ალტრუიზმი	ɑ l tʼ r u i z m i
ალუბალი	ɑ l u b ɑ l i
ალუვიური	ɑ l u v i u r i
ალუმინი	ɑ l u m i n i
ალფა	ɑ l pʰ ɑ
ალღო	ɑ l ɣ ɔ
ამ	ɑ m
ამაზე	ɑ m ɑ z ɛ
ამაო	ɑ m ɑ ɔ
ამაოდ	ɑ m ɑ ɔ d
ამართლებს	ɑ m ɑ r tʰ l ɛ b s
ამატებს	ɑ m ɑ tʼ ɛ b s
ამაღლებული	ɑ m ɑ ɣ l ɛ b u l i
ამაყად	ɑ m ɑ qʼ ɑ d
ამაში	ɑ m ɑ ʃ i
ამბავი	ɑ m b ɑ v i
ამბიცია	ɑ m b i t͡s i ɑ
ამბობს	ɑ m b ɔ b s
ამბოხება	ɑ m b ɔ x ɛ b ɑ
ამბოხებული	ɑ m b ɔ x ɛ b u l i
ამბოხი	ɑ m b ɔ x i
ამდენად	ɑ m d ɛ n ɑ d
ამერიკა	ɑ m ɛ r i kʼ ɑ
ამერიკამ	ɑ m ɛ r i kʼ ɑ m
ამერიკას	ɑ m ɛ r i kʼ ɑ s
ამერიკელი	ɑ m ɛ r i kʼ ɛ l i
ამერიკის	ɑ m ɛ r i kʼ i s
ამერიკული	ɑ m ɛ r i kʼ u l i
ამზადებს	ɑ m z ɑ d ɛ b s
ამთავრებს	ɑ m tʰ ɑ v r ɛ b s
ამთქნარებს	ɑ m tʰ kʰ n ɑ r ɛ b s
ამიაკი	ɑ m i ɑ kʼ i
ამიერიდან	ɑ m i ɛ r i d ɑ n
ამით	ɑ m i tʰ
ამინ	ɑ m i n
ამინდი	ɑ m i n d i
ამირი	ɑ m i r i
ამისულაშვილი	ɑ m i s u l ɑ ʃ v i l i
ამიტომ	ɑ m i tʼ ɔ m
ამკობს	ɑ m kʼ ɔ b s
ამნეზია	ɑ m n ɛ z i ɑ
ამნისტია	ɑ m n i s tʼ i ɑ
ამოზნექილი	ɑ m ɔ z n ɛ kʰ i l i
ამომწურავად	ɑ m ɔ m t͡sʼ u r ɑ v ɑ d
ამომწურავი	ɑ m ɔ m t͡sʼ u r ɑ v i
ამორალური	ɑ m ɔ r ɑ l u r i
ამოუწურავი	ɑ m ɔ u t͡sʼ u r ɑ v i
ამოყვანილი	ɑ m ɔ qʼ v ɑ n i l i
ამოცანა	ɑ m ɔ t͡s ɑ n ɑ
ამოცნობა	ɑ m ɔ t͡s n ɔ b ɑ
ამპარტავანი	ɑ m pʼ ɑ r tʼ ɑ v ɑ n i
ამპერმეტრი	ɑ m pʼ ɛ r m ɛ tʼ r i
ამპულა	ɑ m pʼ u l ɑ
ამპუტაცია	ɑ m pʼ u tʼ ɑ t͡s i ɑ
ამჟამად	ɑ m ʒ ɑ m ɑ d
ამრეკლავი	ɑ m r ɛ kʼ l ɑ v i
ამსგავსებს	ɑ m s ɡ ɑ v s ɛ b s
ამსტერდამი	ɑ m s tʼ ɛ r d ɑ m i
ამტვრევს	ɑ m tʼ v r ɛ v s
ამუშავებს	ɑ m u ʃ ɑ v ɛ b s
ამუხრუჭებს	ɑ m u x r u t͡ʃʼ ɛ b s
ამფიბია	ɑ m pʰ i b i ɑ
ამშვიდებს	ɑ m ʃ v i d ɛ b s
ამჩნევს	ɑ m t͡ʃ n ɛ v s
ამძიმებს	ɑ m d͡z i m ɛ b s
ამწარებს	ɑ m t͡sʼ ɑ r ɛ b s
ამწე	ɑ m t͡sʼ ɛ
ამხანაგი	ɑ m x ɑ n ɑ ɡ i
ამხანაგობა	ɑ m x ɑ n ɑ ɡ ɔ b ɑ
ამხედრებული	ɑ m x ɛ d r ɛ b u l i
ამჯობინებს	ɑ m d͡ʒ ɔ b i n ɛ b s
ანა	ɑ n ɑ
ანაბარი	ɑ n ɑ b ɑ r i
ანაბეჭდი	ɑ n ɑ b ɛ t͡ʃʼ d i
ანაგვიანებს	ɑ n ɑ ɡ v i ɑ n ɛ b s
ანაკონდა	ɑ n ɑ kʼ ɔ n d ɑ
ანალიზი	ɑ n ɑ l i z i
ანალიტიკოსი	ɑ n ɑ l i tʼ i kʼ ɔ s i
ანალოგიურად	ɑ n ɑ l ɔ ɡ i u r ɑ d
ანალოგიური	ɑ n ɑ l ɔ ɡ i u r i
ანალური	ɑ n ɑ l u r i
ანანიძე	ɑ n ɑ n i d͡z ɛ
ანაოჭებს	ɑ n ɑ ɔ t͡ʃʼ ɛ b s
ანარქია	ɑ n ɑ r kʰ i ɑ
ანარქიზმი	ɑ n ɑ r kʰ i z m i
ანატოლი	ɑ n ɑ tʼ ɔ l i
ანატომი	ɑ n ɑ tʼ ɔ m i
ანაფილაქსია	ɑ n ɑ pʰ i l ɑ kʰ s i ɑ
ანახშირებს	ɑ n ɑ x ʃ i r ɛ b s
ანბანი	ɑ n b ɑ n i
ანბანური	ɑ n b ɑ n u r i
ანგარება	ɑ n ɡ ɑ r ɛ b ɑ
ანგარი	ɑ n ɡ ɑ r i
ანგარიშვალდებულება	ɑ n ɡ ɑ r i ʃ v ɑ l d ɛ b u l ɛ b ɑ
ანგარიშვალდებული	ɑ n ɡ ɑ r i ʃ v ɑ l d ɛ b u l i
ანგარიში	ɑ n ɡ ɑ r i ʃ i
ანგელოზა	ɑ n ɡ ɛ l ɔ z ɑ
ანგელოზი	ɑ n ɡ ɛ l ɔ z i
ანგელოზივით	ɑ n ɡ ɛ l ɔ z i v i tʰ
ანგია	ɑ n ɡ i ɑ
ანგრევს	ɑ n ɡ r ɛ v s
ანდრია	ɑ n d r i ɑ
ანეკდოტური	ɑ n ɛ kʼ d ɔ tʼ u r i
ანემია	ɑ n ɛ m i ɑ
ანექსია	ɑ n ɛ kʰ s i ɑ
ანთება	ɑ n tʰ ɛ b ɑ
ანთებითი	ɑ n tʰ ɛ b i tʰ i
ანთებს	ɑ n tʰ ɛ b s
ანთებული	ɑ n tʰ ɛ b u l i
ანთოლოგია	ɑ n tʰ ɔ l ɔ ɡ i ɑ
ანთრაციტი	ɑ n tʰ r ɑ t͡s i tʼ i
ანთროპოლოგი	ɑ n tʰ r ɔ pʼ ɔ l ɔ ɡ i
ანკესი	ɑ n kʼ ɛ s i
ანომალიური	ɑ n ɔ m ɑ l i u r i
ანომალურად	ɑ n ɔ m ɑ l u r ɑ d
ანონიმურად	ɑ n ɔ n i m u r ɑ d
ანონიმური	ɑ n ɔ n i m u r i
ანონიმურობა	ɑ n ɔ n i m u r ɔ b ɑ
ანტაგონისტურად	ɑ n tʼ ɑ ɡ ɔ n i s tʼ u r ɑ d
ანტარქტიდა	ɑ n tʼ ɑ r kʰ tʼ i d ɑ
ანტიბიოტიკი	ɑ n tʼ i b i ɔ tʼ i kʼ i
ანტიკური	ɑ n tʼ i kʼ u r i
ანტიპათია	ɑ n tʼ i pʼ ɑ tʰ i ɑ
ანტიციკლონი	ɑ n tʼ i t͡s i kʼ l ɔ n i
ანტურაჟი	ɑ n tʼ u r ɑ ʒ i
აპათია	ɑ pʼ ɑ tʰ i ɑ
აპარატი	ɑ pʼ ɑ r ɑ tʼ i
აპარატით	ɑ pʼ ɑ r ɑ tʼ i tʰ
აპარატის	ɑ pʼ ɑ r ɑ tʼ i s
აპარატმა	ɑ pʼ ɑ r ɑ tʼ m ɑ
აპარატო	ɑ pʼ ɑ r ɑ tʼ ɔ
აპარატს	ɑ pʼ ɑ r ɑ tʼ s
აპატიებს	ɑ pʼ ɑ tʼ i ɛ b s
აპლიკაცია	ɑ pʼ l i kʼ ɑ t͡s i ɑ
აპლოდისმენტი	ɑ pʼ l ɔ d i s m ɛ n tʼ i
აპოგეა	ɑ pʼ ɔ ɡ ɛ ɑ
აპოკალიფსი	ɑ pʼ ɔ kʼ ɑ l i pʰ s i
აპოკალიფსური	ɑ pʼ ɔ kʼ ɑ l i pʰ s u r i
აპრილი	ɑ pʼ r i l i
აპრილის	ɑ pʼ r i l i s
აპრილმა	ɑ pʼ r i l m ɑ
აპრილს	ɑ pʼ r i l s
არ	ɑ r
არა	ɑ r ɑ
არაადეკვატური	ɑ r ɑ ɑ d ɛ kʼ v ɑ tʼ u r i
არაარსებითი	ɑ r ɑ ɑ r s ɛ b i tʰ i
არაბი	ɑ r ɑ b i
არაბიძე	ɑ r ɑ b i d͡z ɛ
არაბული	ɑ r ɑ b u l i
არაბუნებრივად	ɑ r ɑ b u n ɛ b r i v ɑ d
არაბუნებრივი	ɑ r ɑ b u n ɛ b r i v i
არაგონივრულად	ɑ r ɑ ɡ ɔ n i v r u l ɑ d
არაგონივრული	ɑ r ɑ ɡ ɔ n i v r u l i
არაგულწრფელი	ɑ r ɑ ɡ u l t͡sʼ r pʰ ɛ l i
არადა	ɑ r ɑ d ɑ
არადამაჯერებლად	ɑ r ɑ d ɑ m ɑ d͡ʒ ɛ r ɛ b l ɑ d
არაეთიკურად	ɑ r ɑ ɛ tʰ i kʼ u r ɑ d
არაეთიკური	ɑ r ɑ ɛ tʰ i kʼ u r i
არაეკონომიურად	ɑ r ɑ ɛ kʼ ɔ n ɔ m i u r ɑ d
არაერთხელ	ɑ r ɑ ɛ r tʰ x ɛ l
არაეფექტური	ɑ r ɑ ɛ pʰ ɛ kʰ tʼ u r i
არავინ	ɑ r ɑ v i n
არაზუსტად	ɑ r ɑ z u s tʼ ɑ d
არაზუსტი	ɑ r ɑ z u s tʼ i
არათანაბარი	ɑ r ɑ tʰ ɑ n ɑ b ɑ r i
არათანაბრად	ɑ r ɑ tʰ ɑ n ɑ b r ɑ d
არათანმიმდევრულად	ɑ r ɑ tʰ ɑ n m i m d ɛ v r u l ɑ d
არათითი	ɑ r ɑ tʰ i tʰ i
არაკონსტიტუციურად	ɑ r ɑ kʼ ɔ n s tʼ i tʼ u t͡s i u r ɑ d
არაკორექტული	ɑ r ɑ kʼ ɔ r ɛ kʰ tʼ u l i
არალოგიკურად	ɑ r ɑ l ɔ ɡ i kʼ u r ɑ d
არალოგიკური	ɑ r ɑ l ɔ ɡ i kʼ u r i
არამეგობრული	ɑ r ɑ m ɛ ɡ ɔ b r u l i
არამედ	ɑ r ɑ m ɛ d
არამეცნიერულად	ɑ r ɑ m ɛ t͡s n i ɛ r u l ɑ d
არამზადა	ɑ r ɑ m z ɑ d ɑ
არამყარი	ɑ r ɑ m qʼ ɑ r i
არანაირად	ɑ r ɑ n ɑ i r ɑ d
არანაირი	ɑ r ɑ n ɑ i r i
არანორმალური	ɑ r ɑ n ɔ r m ɑ l u r i
არაორაზროვნად	ɑ r ɑ ɔ r ɑ z r ɔ v n ɑ d
არაორგანული	ɑ r ɑ ɔ r ɡ ɑ n u l i
არაოფიციალურად	ɑ r ɑ ɔ pʰ i t͡s i ɑ l u r ɑ d
არაოფიციალური	ɑ r ɑ ɔ pʰ i t͡s i ɑ l u r i
არაპატრიოტულად	ɑ r ɑ pʼ ɑ tʼ r i ɔ tʼ u l ɑ d
არაპირდაპირად	ɑ r ɑ pʼ i r d ɑ pʼ i r ɑ d
არაპირდაპირი	ɑ r ɑ pʼ i r d ɑ pʼ i r i
არაპროპორციულად	ɑ r ɑ pʼ r ɔ pʼ ɔ r t͡s i u l ɑ d
არაპროფესიონალური	ɑ r ɑ pʼ r ɔ pʰ ɛ s i ɔ n ɑ l u r i
არარეალურად	ɑ r ɑ r ɛ ɑ l u r ɑ d
არარეალური	ɑ r ɑ r ɛ ɑ l u r i
არასავალდებულოდ	ɑ r ɑ s ɑ v ɑ l d ɛ b u l ɔ d
არასაიმედო	ɑ r ɑ s ɑ i m ɛ d ɔ
არასაკმარისად	ɑ r ɑ s ɑ kʼ m ɑ r i s ɑ d
არასაკმარისი	ɑ r ɑ s ɑ kʼ m ɑ r i s i
არასამართლიანი	ɑ r ɑ s ɑ m ɑ r tʰ l i ɑ n i
არასასიამოვნოდ	ɑ r ɑ s ɑ s i ɑ m ɔ v n ɔ d
არასაჭირო	ɑ r ɑ s ɑ t͡ʃʼ i r ɔ
არასდროს	ɑ r ɑ s d r ɔ s
არასეზონურად	ɑ r ɑ s ɛ z ɔ n u r ɑ d
არასოდეს	ɑ r ɑ s ɔ d ɛ s
არასპეციფიკურად	ɑ r ɑ s pʼ ɛ t͡s i pʰ i kʼ u r ɑ d
არასრული	ɑ r ɑ s r u l i
არასრულყოფილად	ɑ r ɑ s r u l qʼ ɔ pʰ i l ɑ d
არასწორად	ɑ r ɑ s t͡sʼ ɔ r ɑ d
არასწორი	ɑ r ɑ s t͡sʼ ɔ r i
არატიპური	ɑ r ɑ tʼ i pʼ u r i
არაფერი	ɑ r ɑ pʰ ɛ r i
არაფერს	ɑ r ɑ pʰ ɛ r s
არაფორმალურად	ɑ r ɑ pʰ ɔ r m ɑ l u r ɑ d
არაფორმალური	ɑ r ɑ pʰ ɔ r m ɑ l u r i
არაფრის	ɑ r ɑ pʰ r i s
არაყი	ɑ r ɑ qʼ i
არაშთამბეჭდავად	ɑ r ɑ ʃ tʰ ɑ m b ɛ t͡ʃʼ d ɑ v ɑ d
არაჩვეულებრივად	ɑ r ɑ t͡ʃ v ɛ u l ɛ b r i v ɑ d
არაჩვეულებრივი	ɑ r ɑ t͡ʃ v ɛ u l ɛ b r i v i
არაწესიერად	ɑ r ɑ t͡sʼ ɛ s i ɛ r ɑ d
არაჯანსაღი	ɑ r ɑ d͡ʒ ɑ n s ɑ ɣ i
არაჰიგიენური	ɑ r ɑ h i ɡ i ɛ n u r i
არბილებს	ɑ r b i l ɛ b s
არგამოყენება	ɑ r ɡ ɑ m ɔ qʼ ɛ n ɛ b ɑ
არგენტინა	ɑ r ɡ ɛ n tʼ i n ɑ
არგენტინამ	ɑ r ɡ ɛ n tʼ i n ɑ m
არგენტინას	ɑ r ɡ ɛ n tʼ i n ɑ s
არგო	ɑ r ɡ ɔ
არგუმენტაცია	ɑ r ɡ u m ɛ n tʼ ɑ t͡s i ɑ
არგუმენტი	ɑ r ɡ u m ɛ n tʼ i
არდადეგები	ɑ r d ɑ d ɛ ɡ ɛ b i
არდი	ɑ r d i
არე	ɑ r ɛ
არეგულირებს	ɑ r ɛ ɡ u l i r ɛ b s
არენა	ɑ r ɛ n ɑ
არეული	ɑ r ɛ u l i
არეულობა	ɑ r ɛ u l ɔ b ɑ
არია	ɑ r i ɑ
არიან	ɑ r i ɑ n
არითმეტიკა	ɑ r i tʰ m ɛ tʼ i kʼ ɑ
არითმეტიკული	ɑ r i tʰ m ɛ tʼ i kʼ u l i
არის	ɑ r i s
არისტოკრატი	ɑ r i s tʼ ɔ kʼ r ɑ tʼ i
არისტოკრატია	ɑ r i s tʼ ɔ kʼ r ɑ tʼ i ɑ
არმია	ɑ r m i ɑ
არმიად	ɑ r m i ɑ d
არმიამ	ɑ r m i ɑ m
არმიას	ɑ r m i ɑ s
არმიის	ɑ r m i i s
არმცოდნე	ɑ r m t͡s ɔ d n ɛ
არნახული	ɑ r n ɑ x u l i
არნიკა	ɑ r n i kʼ ɑ
აროდეს	ɑ r ɔ d ɛ s
არომატი	ɑ r ɔ m ɑ tʼ i
არომატული	ɑ r ɔ m ɑ tʼ u l i
არს	ɑ r s
არსება	ɑ r s ɛ b ɑ
არსებები	ɑ r s ɛ b ɛ b i
