abba	ɒ bː ɒ
akadályozta	ɒ k ɒ d aː j o s t ɒ
akadályt	ɒ k ɒ d aː j t
akadémia	ɒ k ɒ d eː m i j ɒ
akadémikus	ɒ k ɒ d eː m i k u ʃ
akar	ɒ k ɒ r
akarattal	ɒ k ɒ r ɒ tː ɒ l
akard	ɒ k ɒ r d
akarja	ɒ k ɒ r j ɒ
akarnak	ɒ k ɒ r n ɒ k
akarnám	ɒ k ɒ r n aː m
akarom	ɒ k ɒ r o m
akarsz	ɒ k ɒ r s
akart	ɒ k ɒ r t
akarta	ɒ k ɒ r t ɒ
akartak	ɒ k ɒ r t ɒ k
akarták	ɒ k ɒ r t aː k
akarunk	ɒ k ɒ r u ŋ k
akció	ɒ k t͡s i j oː
akciók	ɒ k t͡s i j oː k
akciós	ɒ k t͡s i j oː ʃ
akiben	ɒ k i b ɛ n
akihez	ɒ k i ɦ ɛ z
akik	ɒ k i k
akiket	ɒ k i k ɛ t
akikkel	ɒ k i kː ɛ l
akiknek	ɒ k i k n ɛ k
akiknél	ɒ k i k n eː l
akikre	ɒ k i k r ɛ
akikről	ɒ k i k r øː l
akinek	ɒ k i n ɛ k
akiről	ɒ k i r øː l
akitől	ɒ k i t øː l
akivel	ɒ k i v ɛ l
akkordokat	ɒ kː o r d o k ɒ t
akkori	ɒ kː o r i
aktuális	ɒ k t u aː l i ʃ
akár	ɒ k aː r
akárcsak	ɒ k aː r t͡ʃ ɒ k
akármilyen	ɒ k aː r m i j ɛ n
alacsonyabb	ɒ l ɒ t͡ʃ o ɲ ɒ bː
alak	ɒ l ɒ k
alakja	ɒ l ɒ k j ɒ
alakját	ɒ l ɒ k j aː t
alakra	ɒ l ɒ k r ɒ
alakul	ɒ l ɒ k u l
alakult	ɒ l ɒ k u l t
alakulása	ɒ l ɒ k u l aː ʃ ɒ
alakulását	ɒ l ɒ k u l aː ʃ aː t
alakítható	ɒ l ɒ k iː t h ɒ t oː
alakú	ɒ l ɒ k uː
alany	ɒ l ɒ ɲ
alanya	ɒ l ɒ ɲ ɒ
alap	ɒ l ɒ p
alapfokú	ɒ l ɒ p f o k uː
alapjául	ɒ l ɒ p j aː u l
alapkamat	ɒ l ɒ p k ɒ m ɒ t
alaplap	ɒ l ɒ p l ɒ p
alapok	ɒ l ɒ p o k
alapon	ɒ l ɒ p o n
alapos	ɒ l ɒ p o ʃ
alaposabban	ɒ l ɒ p o ʃ ɒ bː ɒ n
alapozva	ɒ l ɒ p o z v ɒ
alapterület	ɒ l ɒ p t ɛ r y l ɛ t
alapul	ɒ l ɒ p u l
alapvető	ɒ l ɒ p v ɛ t øː
alapvetően	ɒ l ɒ p v ɛ t øː ɛ n
alapítvány	ɒ l ɒ p iː t v aː ɲ
alapítványi	ɒ l ɒ p iː t v aː ɲ i
alapú	ɒ l ɒ p uː
alatt	ɒ l ɒ tː
albert	ɒ l b ɛ r t
album	ɒ l b u m
albumon	ɒ l b u m o n
albániai	ɒ l b aː n i j ɒ j i
alfa	ɒ l f ɒ
alföldi	ɒ l f ø l d i
alhat	ɒ l ɦ ɒ t
aligha	ɒ l i k h ɒ
alja	ɒ jː ɒ
alján	ɒ jː aː n
alka	ɒ l k ɒ
alkalmak	ɒ l k ɒ l m ɒ k
alkalmas	ɒ l k ɒ l m ɒ ʃ
alkalmasnak	ɒ l k ɒ l m ɒ ʃ n ɒ k
alkalmassá	ɒ l k ɒ l m ɒ ʃː aː
alkalmat	ɒ l k ɒ l m ɒ t
alkalmazható	ɒ l k ɒ l m ɒ s h ɒ t oː
alkalmazni	ɒ l k ɒ l m ɒ z n i
alkalmazása	ɒ l k ɒ l m ɒ z aː ʃ ɒ
alkalmazásának	ɒ l k ɒ l m ɒ z aː ʃ aː n ɒ k
alkalmazásával	ɒ l k ɒ l m ɒ z aː ʃ aː v ɒ l
alkalom	ɒ l k ɒ l o m
alkalomhoz	ɒ l k ɒ l o m ɦ o z
alkalommal	ɒ l k ɒ l o mː ɒ l
alkat	ɒ l k ɒ t
alkatrész	ɒ l k ɒ t r eː s
alkohol	ɒ l k o h o l
alkoholista	ɒ l k o h o l i ʃ t ɒ
alkonyataink	ɒ l k o ɲ ɒ t ɒ j i ŋ k
alkotmánybíróság	ɒ l k o t m aː ɲ b iː r oː ʃ aː ɡ
alkotmányos	ɒ l k o t m aː ɲ o ʃ
alkotása	ɒ l k o t aː ʃ ɒ
alkotó	ɒ l k o t oː
allen	ɛ l ɛ n
alpesi	ɒ l p ɛ ʃ i
alpolgármester	ɒ l p o l ɡ aː r m ɛ ʃ t ɛ r
alszik	ɒ l s i k
alsó	ɒ l ʃ oː
alternatív	ɒ l t ɛ r n ɒ t iː v
aluli	ɒ l u l i
alumínium	ɒ l u m iː n i j u m
alá	ɒ l aː
alább	ɒ l aː bː
alábbi	ɒ l aː bː i
alábbiak	ɒ l aː bː i j ɒ k
alám	ɒ l aː m
alánk	ɒ l aː ŋ k
alázat	ɒ l aː z ɒ t
aláírta	ɒ l aː j iː r t ɒ
aláírást	ɒ l aː j iː r aː ʃ t
alól	ɒ l oː l
ama	ɒ m ɒ
amatőr	ɒ m ɒ t øː r
amcsik	ɒ m t͡ʃ i k
ameddig	ɒ m ɛ dː i ɡ
amellett	ɒ m ɛ lː ɛ tː
amely	ɒ m ɛ j
amelyben	ɒ m ɛ j b ɛ n
amelyek	ɒ m ɛ j ɛ k
amelyekben	ɒ m ɛ j ɛ ɡ b ɛ n
amelyeken	ɒ m ɛ j ɛ k ɛ n
amelyekhez	ɒ m ɛ j ɛ k h ɛ z
amelyekkel	ɒ m ɛ j ɛ kː ɛ l
amelyekre	ɒ m ɛ j ɛ k r ɛ
amelyen	ɒ m ɛ j ɛ n
amelyet	ɒ m ɛ j ɛ t
amelynek	ɒ m ɛ j n ɛ k
amelynél	ɒ m ɛ j n eː l
amelyről	ɒ m ɛ j r øː l
amennyi	ɒ m ɛ ɲː i
amennyiben	ɒ m ɛ ɲː i b ɛ n
amennyire	ɒ m ɛ ɲː i r ɛ
amerikai	ɒ m ɛ r i k ɒ j i
ami	ɒ m i
amiben	ɒ m i b ɛ n
amiből	ɒ m i b øː l
amihez	ɒ m i ɦ ɛ z
amiket	ɒ m i k ɛ t
amikkel	ɒ m i kː ɛ l
amikor	ɒ m i k o r
amilyen	ɒ m i j ɛ n
amin	ɒ m i n
aminek	ɒ m i n ɛ k
amire	ɒ m i r ɛ
amiről	ɒ m i r øː l
amit	ɒ m i t
amivel	ɒ m i v ɛ l
amióta	ɒ m i j oː t ɒ
amnesztia	ɒ m n ɛ s t i j ɒ
amolyan	ɒ m o j ɒ n
amúgy	ɒ m uː ɟ
analfabéták	ɒ n ɒ l f ɒ b eː t aː k
analóg	ɒ n ɒ l oː ɡ
analógia	ɒ n ɒ l oː ɡ i j ɒ
andrás	ɒ n d r aː ʃ
anesztézia	ɒ n ɛ s t eː z i j ɒ
angliában	ɒ ŋ ɡ l i j aː b ɒ n
angol	ɒ ŋ ɡ o l
angolok	ɒ ŋ ɡ o l o k
anikó	ɒ n i k oː
animizmus	ɒ n i m i z m u ʃ
animációs	ɒ n i m aː t͡s i j oː ʃ
anna	ɒ nː ɒ
annak	ɒ nː ɒ k
annyi	ɒ ɲː i
annyira	ɒ ɲː i r ɒ
annácska	ɒ nː aː t͡ʃ k ɒ
annál	ɒ nː aː l
antal	ɒ n t ɒ l
anti	ɒ n t i
antidemokratikus	ɒ n t i d ɛ m o k r ɒ t i k u ʃ
anyag	ɒ ɲ ɒ ɡ
anyaga	ɒ ɲ ɒ ɡ ɒ
anyagai	ɒ ɲ ɒ ɡ ɒ j i
anyagban	ɒ ɲ ɒ ɡ b ɒ n
anyagból	ɒ ɲ ɒ ɡ b oː l
anyagi	ɒ ɲ ɒ ɡ i
anyagilag	ɒ ɲ ɒ ɡ i l ɒ ɡ
anyagok	ɒ ɲ ɒ ɡ o k
anyagokat	ɒ ɲ ɒ ɡ o k ɒ t
anyagokból	ɒ ɲ ɒ ɡ o ɡ b oː l
anyagot	ɒ ɲ ɒ ɡ o t
anyanyelvű	ɒ ɲ ɒ ɲ ɛ l v yː
anyja	ɒ ɲː ɒ
anyuka	ɒ ɲ u k ɒ
anyós	ɒ ɲ oː ʃ
anélkül	ɒ n eː l k y l
apa	ɒ p ɒ
apad	ɒ p ɒ d
apeh	ɒ p ɛ x
apja	ɒ p j ɒ
apró	ɒ p r oː
apám	ɒ p aː m
apát	ɒ p aː t
aranka	ɒ r ɒ ŋ k ɒ
arany	ɒ r ɒ ɲ
aranyos	ɒ r ɒ ɲ o ʃ
arca	ɒ r t͡s ɒ
arcán	ɒ r t͡s aː n
arcú	ɒ r t͡s uː
argentína	ɒ r ɡ ɛ n t iː n ɒ
argonod	ɒ r ɡ o n o d
arisztokrácia	ɒ r i s t o k r aː t͡s i j ɒ
arrafelé	ɒ rː ɒ f ɛ l eː
arról	ɒ rː oː l
artériás	ɒ r t eː r i j aː ʃ
aránya	ɒ r aː ɲ ɒ
aránylag	ɒ r aː ɲ l ɒ ɡ
arányos	ɒ r aː ɲ o ʃ
asszem	ɒ sː ɛ m
asszociációs	ɒ sː o t͡s i j aː t͡s i j oː ʃ
asszony	ɒ sː o ɲ
asszonyt	ɒ sː o ɲ t
aszerint	ɒ s ɛ r i n t
asztalé	ɒ s t ɒ l eː
asztrológia	ɒ s t r o l oː ɡ i j ɒ
ateizmus	ɒ t ɛ j i z m u ʃ
atom	ɒ t o m
atomerőmű	ɒ t o m ɛ r øː m yː
attila	ɒ t i lː ɒ
attribútum	ɒ t r i b uː t u m
audiokommentár	ɒ u d i j o k o mː ɛ n t aː r
ausztria	ɒ u s t r i j ɒ
ausztriai	ɒ u s t r i j ɒ j i
ausztriában	ɒ u s t r i j aː b ɒ n
ausztrál	ɒ u s t r aː l
ausztráliában	ɒ u s t r aː l i j aː b ɒ n
autizmus	ɒ u t i z m u ʃ
autonómia	ɒ u t o n oː m i j ɒ
autonómiák	ɒ u t o n oː m i j aː k
autója	ɒ u t oː j ɒ
autók	ɒ u t oː k
autókat	ɒ u t oː k ɒ t
autóknál	ɒ u t oː k n aː l
autónk	ɒ u t oː ŋ k
autópályán	ɒ u t oː p aː j aː n
autót	ɒ u t oː t
autóval	ɒ u t oː v ɒ l
avagy	ɒ v ɒ ɟ
avar	ɒ v ɒ r
azaz	ɒ z ɒ z
azeri	ɒ z ɛ r i
aznap	ɒ z n ɒ p
azok	ɒ z o k
azokat	ɒ z o k ɒ t
azokban	ɒ z o ɡ b ɒ n
azokból	ɒ z o ɡ b oː l
azoknak	ɒ z o k n ɒ k
azokon	ɒ z o k o n
azokra	ɒ z o k r ɒ
azoktól	ɒ z o k t oː l
azokért	ɒ z o k eː r t
azon	ɒ z o n
azonban	ɒ z o m b ɒ n
azonnal	ɒ z o nː ɒ l
azonnali	ɒ z o nː ɒ l i
azonos	ɒ z o n o ʃ
azonosak	ɒ z o n o ʃ ɒ k
azonosító	ɒ z o n o ʃ iː t oː
azt	ɒ s t
aztán	ɒ s t aː n
azután	ɒ z u t aː n
azzal	ɒ zː ɒ l
azért	ɒ z eː r t
azóta	ɒ z oː t ɒ
baj	b ɒ j
bajnok	b ɒ j n o k
bajnoki	b ɒ j n o k i
bajnokok	b ɒ j n o k o k
bajnokság	b ɒ j n o k ʃ aː ɡ
bajod	b ɒ j o d
bajok	b ɒ j o k
bajom	b ɒ j o m
bajor	b ɒ j o r
bajuk	b ɒ j u k
baki	b ɒ k i
bakteriológiai	b ɒ k t ɛ r i j o l oː ɡ i j ɒ j i
bal	b ɒ l
balaton	b ɒ l ɒ t o n
balatoni	b ɒ l ɒ t o n i
baleset	b ɒ l ɛ ʃ ɛ t
balesetek	b ɒ l ɛ ʃ ɛ t ɛ k
balesetet	b ɒ l ɛ ʃ ɛ t ɛ t
baleseti	b ɒ l ɛ ʃ ɛ t i
ballépés	b ɒ lː eː p eː ʃ
balra	b ɒ rː ɒ
balázs	b ɒ l aː ʒ
barack	b ɒ r ɒ t͡s k
barlang	b ɒ r l ɒ ŋ ɡ
barlangász	b ɒ r l ɒ ŋ ɡ aː s
barna	b ɒ r n ɒ
barnállik	b ɒ r n aː lː i k
barokk	b ɒ r o kː
baromfi	b ɒ r o ɱ f i
baromfitenyésztés	b ɒ r o ɱ f i t ɛ ɲ eː s t eː ʃ
baromság	b ɒ r o m ʃ aː ɡ
baross	b ɒ r o ʃ
bartók	b ɒ r t oː k
barátai	b ɒ r aː t ɒ j i
barátaim	b ɒ r aː t ɒ j i m
baráti	b ɒ r aː t i
barátja	b ɒ r aː cː ɒ
barátnő	b ɒ r aː t n øː
barátnője	b ɒ r aː t n øː j ɛ
barátom	b ɒ r aː t o m
barázda	b ɒ r aː z d ɒ
basszusgitár	b ɒ sː u ʒ ɡ i t aː r
batthyány	b ɒ cː aː ɲ i
be	b ɛ
bead	b ɛ ɒ d
beadja	b ɛ ɒ ɟː ɒ
beavatkozások	b ɛ ɒ v ɒ t k o z aː ʃ o k
beavatottak	b ɛ ɒ v ɒ t o tː ɒ k
becses	b ɛ t͡ʃ ɛ ʃ
beethoven	b eː t oː v ɛ n
befejezetlen	b ɛ f ɛ j ɛ z ɛ t l ɛ n
befejezett	b ɛ f ɛ j ɛ z ɛ tː
befejezés	b ɛ f ɛ j ɛ z eː ʃ
befejezése	b ɛ f ɛ j ɛ z eː ʃ ɛ
befektetés	b ɛ f ɛ k t ɛ t eː ʃ
befektetők	b ɛ f ɛ k t ɛ t øː k
befelé	b ɛ f ɛ l eː
befogadó	b ɛ f o ɡ ɒ d oː
befolyásolni	b ɛ f o j aː ʃ o l n i
befolyásoló	b ɛ f o j aː ʃ o l oː
befolyásos	b ɛ f o j aː ʃ o ʃ
beindul	b ɛ j i n d u l
beismerte	b ɛ j i ʃ m ɛ r t ɛ
bejelenteni	b ɛ j ɛ l ɛ n t ɛ n i
bejelentette	b ɛ j ɛ l ɛ n t ɛ tː ɛ
bejelentés	b ɛ j ɛ l ɛ n t eː ʃ
bejelentése	b ɛ j ɛ l ɛ n t eː ʃ ɛ
bejárat	b ɛ j aː r ɒ t
bejárati	b ɛ j aː r ɒ t i
bele	b ɛ l ɛ
beleegyezés	b ɛ l ɛ ɛ ɟː ɛ z eː ʃ
beleszeret	b ɛ l ɛ s ɛ r ɛ t
beleért	b ɛ l ɛ j eː r t
belga	b ɛ l ɡ ɒ
belgium	b ɛ l ɡ i j u m
belső	b ɛ l ʃ øː
beltéri	b ɛ l t eː r i
belváros	b ɛ l v aː r o ʃ
belvárosi	b ɛ l v aː r o ʃ i
belé	b ɛ l eː
beléd	b ɛ l eː d
beléjük	b ɛ l eː j y k
belépni	b ɛ l eː p n i
belépődíj	b ɛ l eː p øː d iː j
belügyminiszter	b ɛ l y ɟ m i n i s t ɛ r
belügyminisztérium	b ɛ l y ɟ m i n i s t eː r i j u m
belül	b ɛ l y l
belüli	b ɛ l y l i
belőle	b ɛ l øː l ɛ
belőlük	b ɛ l øː l y k
belőlünk	b ɛ l øː l y ŋ k
bemutatja	b ɛ m u t ɒ cː ɒ
bemutatni	b ɛ m u t ɒ t n i
bemutatott	b ɛ m u t ɒ t o tː
bemutatása	b ɛ m u t ɒ t aː ʃ ɒ
bemutatásra	b ɛ m u t ɒ t aː ʃ r ɒ
bemutatásával	b ɛ m u t ɒ t aː ʃ aː v ɒ l
bencés	b ɛ n t͡s eː ʃ
benkő	b ɛ ŋ k øː
benn	b ɛ nː
benne	b ɛ nː ɛ
benned	b ɛ nː ɛ d
bennetek	b ɛ nː ɛ t ɛ k
bennszülött	b ɛ n s y l ø tː
bennük	b ɛ nː y k
bennünket	b ɛ nː y ŋ k ɛ t
bent	b ɛ n t
benyomni	b ɛ ɲ o m n i
benyújtani	b ɛ ɲ uː j t ɒ n i
benzin	b ɛ n z i n
berci	b ɛ r t͡s i
berendezett	b ɛ r ɛ n d ɛ z ɛ tː
berendezés	b ɛ r ɛ n d ɛ z eː ʃ
berendezések	b ɛ r ɛ n d ɛ z eː ʃ ɛ k
berlini	b ɛ r l i n i
bernstein	b ɛ r n ʃ t ɛ j n
berta	b ɛ r t ɒ
beruházás	b ɛ r u ɦ aː z aː ʃ
beruházási	b ɛ r u ɦ aː z aː ʃ i
beruházások	b ɛ r u ɦ aː z aː ʃ o k
beszerezni	b ɛ s ɛ r ɛ z n i
beszerzés	b ɛ s ɛ r z eː ʃ
beszerzése	b ɛ s ɛ r z eː ʃ ɛ
beszámoló	b ɛ s aː m o l oː
beszéd	b ɛ s eː d
beszédes	b ɛ s eː d ɛ ʃ
beszédet	b ɛ s eː d ɛ t
beszédében	b ɛ s eː d eː b ɛ n
beszédét	b ɛ s eː d eː t
beszél	b ɛ s eː l
beszélek	b ɛ s eː l ɛ k
beszélget	b ɛ s eː l ɡ ɛ t
beszélgetés	b ɛ s eː l ɡ ɛ t eː ʃ
beszélgetések	b ɛ s eː l ɡ ɛ t eː ʃ ɛ k
beszélgetésre	b ɛ s eː l ɡ ɛ t eː ʃ r ɛ
beszélgetést	b ɛ s eː l ɡ ɛ t eː ʃ t
beszéljen	b ɛ s eː jː ɛ n
beszélni	b ɛ s eː l n i
beszélsz	b ɛ s eː l s
beszélt	b ɛ s eː l t
beszéltem	b ɛ s eː l t ɛ m
beszéltünk	b ɛ s eː l t y ŋ k
beszélünk	b ɛ s eː l y ŋ k
beszélő	b ɛ s eː l øː
betartása	b ɛ t ɒ r t aː ʃ ɒ
beteg	b ɛ t ɛ ɡ
betegek	b ɛ t ɛ ɡ ɛ k
betegség	b ɛ t ɛ k ʃ eː ɡ
betegségek	b ɛ t ɛ k ʃ eː ɡ ɛ k
betegséget	b ɛ t ɛ k ʃ eː ɡ ɛ t
betegágy	b ɛ t ɛ ɡ aː ɟ
betekintést	b ɛ t ɛ k i n t eː ʃ t
beton	b ɛ t o n
betyárok	b ɛ c aː r o k
betöltött	b ɛ t ø l t ø tː
betű	b ɛ t yː
betűket	b ɛ t yː k ɛ t
betűméret	b ɛ t yː m eː r ɛ t
bevett	b ɛ v ɛ tː
bevette	b ɛ v ɛ tː ɛ
bevezetett	b ɛ v ɛ z ɛ t ɛ tː
bevezetni	b ɛ v ɛ z ɛ t n i
bevezetés	b ɛ v ɛ z ɛ t eː ʃ
bevezetését	b ɛ v ɛ z ɛ t eː ʃ eː t
bevált	b ɛ v aː l t
bevétel	b ɛ v eː t ɛ l
bevételek	b ɛ v eː t ɛ l ɛ k
bevételi	b ɛ v eː t ɛ l i
bezzeg	b ɛ zː ɛ ɡ
beáta	b ɛ aː t ɒ
beérkezett	b ɛ j eː r k ɛ z ɛ tː
beérkező	b ɛ j eː r k ɛ z øː
bianka	b i j ɒ ŋ k ɒ
bibliai	b i b l i j ɒ j i
billió	b i l i j oː
biológiai	b i j o l oː ɡ i j ɒ j i
biológus	b i j o l oː ɡ u ʃ
birtoka	b i r t o k ɒ
birtokba	b i r t o ɡ b ɒ
birtokában	b i r t o k aː b ɒ n
bizalmát	b i z ɒ l m aː t
bizalom	b i z ɒ l o m
bizonnyal	b i z o ɲː ɒ l
bizonyos	b i z o ɲ o ʃ
bizonytalan	b i z o ɲ t ɒ l ɒ n
bizonytalanság	b i z o ɲ t ɒ l ɒ n ʃ aː ɡ
bizonytalanságok	b i z o ɲ t ɒ l ɒ n ʃ aː ɡ o k
bizonyára	b i z o ɲ aː r ɒ
bizonyítvány	b i z o ɲ iː t v aː ɲ
bizonyítványok	b i z o ɲ iː t v aː ɲ o k
bizonyítványt	b i z o ɲ iː t v aː ɲ t
bizonyíték	b i z o ɲ iː t eː k
bizonyítékok	b i z o ɲ iː t eː k o k
bizottság	b i z o t͡ʃː aː ɡ
bizottsága	b i z o t͡ʃː aː ɡ ɒ
bizottságot	b i z o t͡ʃː aː ɡ o t
bizottságának	b i z o t͡ʃː aː ɡ aː n ɒ k
biztató	b i s t ɒ t oː
bizton	b i s t o n
biztonság	b i s t o n ʃ aː ɡ
biztonsága	b i s t o n ʃ aː ɡ ɒ
biztonságban	b i s t o n ʃ aː ɡ b ɒ n
biztonsági	b i s t o n ʃ aː ɡ i
biztonságos	b i s t o n ʃ aː ɡ o ʃ
biztonságosabb	b i s t o n ʃ aː ɡ o ʃ ɒ bː
biztonságát	b i s t o n ʃ aː ɡ aː t
biztos	b i s t o ʃ
biztosan	b i s t o ʃ ɒ n
biztosra	b i s t o ʃ r ɒ
biztosít	b i s t o ʃ iː t
biztosítani	b i s t o ʃ iː t ɒ n i
biztosítja	b i s t o ʃ iː cː ɒ
biztosított	b i s t o ʃ iː t o tː
bizánci	b i z aː n t͡s i
bkv	b eː k aː v eː
blog	b l o ɡ
blokád	b l o k aː d
blues	b l u ɛ ʃ
bmw	b eː j ɛ ɱ v eː
bocsássanak	b o t͡ʃ aː ʃː ɒ n ɒ k
bocsát	b o t͡ʃ aː t
bocsátanunk	b o t͡ʃ aː t ɒ n u ŋ k
bocsátjuk	b o t͡ʃ aː cː u k
bocsátotta	b o t͡ʃ aː t o tː ɒ
bocsátottak	b o t͡ʃ aː t o tː ɒ k
bocsátás	b o t͡ʃ aː t aː ʃ
bogarak	b o ɡ ɒ r ɒ k
bokszutca	b o k s u t͡sː ɒ
bokszzsák	b o ɡ z ʒ aː k
boldog	b o l d o ɡ
boldogok	b o l d o ɡ o k
boldogság	b o l d o k ʃ aː ɡ
bolond	b o l o n d
boltok	b o l t o k
bomba	b o m b ɒ
boncolások	b o n t͡s o l aː ʃ o k
bonyodalom	b o ɲ o d ɒ l o m
bonyolult	b o ɲ o l u l t
bornak	b o r n ɒ k
borok	b o r o k
borongós	b o r o ŋ ɡ oː ʃ
borsmenta	b o r ʃ m ɛ n t ɒ
borzok	b o r z o k
borító	b o r iː t oː
borúsan	b o r uː ʃ ɒ n
bosszút	b o sː uː t
bot	b o t
botlik	b o t l i k
brazil	b r ɒ z i l
bruttó	b r u tː oː
brüsszel	b r y sː ɛ l
buborékok	b u b o r eː k o k
buda	b u d ɒ
budapest	b u d ɒ p ɛ ʃ t
budapesten	b u d ɒ p ɛ ʃ t ɛ n
budapesti	b u d ɒ p ɛ ʃ t i
budapestre	b u d ɒ p ɛ ʃ t r ɛ
bukott	b u k o tː
bulgária	b u l ɡ aː r i j ɒ
buli	b u l i
burkolat	b u r k o l ɒ t
burkolatok	b u r k o l ɒ t o k
busz	b u s
buszok	b u s o k
buszon	b u s o n
buszra	b u s r ɒ
buta	b u t ɒ
bácsi	b aː t͡ʃ i
bája	b aː j ɒ
bájos	b aː j o ʃ
bán	b aː n
bár	b aː r
bárban	b aː r b ɒ n
bárhol	b aː r ɦ o l
bárki	b aː r k i
bárkit	b aː r k i t
bármelyik	b aː r m ɛ j i k
bármi	b aː r m i
bármik	b aː r m i k
bármikor	b aː r m i k o r
bármilyen	b aː r m i j ɛ n
bármit	b aː r m i t
bátor	b aː t o r
bátorság	b aː t o r ʃ aː ɡ
bátorsága	b aː t o r ʃ aː ɡ ɒ
bázisok	b aː z i ʃ o k
bécsben	b eː d͡ʒ b ɛ n
béke	b eː k ɛ
békés	b eː k eː ʃ
béla	b eː l ɒ
bérelt	b eː r ɛ l t
béren	b eː r ɛ n
bérleti	b eː r l ɛ t i
bért	b eː r t
bíboros	b iː b o r o ʃ
bír	b iː r
bírság	b iː r ʃ aː ɡ
bírta	b iː r t ɒ
bíró	b iː r oː
bírói	b iː r oː j i
bírósági	b iː r oː ʃ aː ɡ i
bízik	b iː z i k
bízva	b iː z v ɒ
bóvli	b oː v l i
bögölynél	b ø ɡ ø j n eː l
bölcs	b ø l t͡ʃ
bölcsebb	b ø l t͡ʃ ɛ bː
bölcsek	b ø l t͡ʃ ɛ k
böngésző	b ø ŋ ɡ eː s øː
böngészők	b ø ŋ ɡ eː s øː k
börtönből	b ø r t ø m b øː l
börtönök	b ø r t ø n ø k
búcsúcsók	b uː t͡ʃ uː t͡ʃ oː k
bútor	b uː t o r
bútorok	b uː t o r o k
bútorokat	b uː t o r o k ɒ t
búvár	b uː v aː r
búvárok	b uː v aː r o k
búza	b uː z ɒ
büfé	b y f eː
büntetés	b y n t ɛ t eː ʃ
büntetések	b y n t ɛ t eː ʃ ɛ k
büntetést	b y n t ɛ t eː ʃ t
bürokratikus	b y r o k r ɒ t i k u ʃ
büszke	b y s k ɛ
büszkeség	b y s k ɛ ʃ eː ɡ
büszkén	b y s k eː n
bő	b øː
bőr	b øː r
bőrgyár	b øː r ɟ aː r
bőrt	b øː r t
bőséges	b øː ʃ eː ɡ ɛ ʃ
bővebb	b øː v ɛ bː
bőven	b øː v ɛ n
bővítés	b øː v iː t eː ʃ
bővül	b øː v y l
bővülő	b øː v y l øː
bűn	b yː n
bűnbak	b yː m b ɒ k
