aad	aː t
aanvullen	aː n v ʏ l ə n
aanvulling	aː n v ʏ l ɪ ŋ
aanwakkeren	aː n ʋ ɑ k ə r ə n
aanwenden	aː n ʋ ɛ n d ə n
aanwerven	aː n ʋ ɛ r v ə n
aanwezig	aː n ʋ eː z ə x
aanwezige	aː n ʋ eː z ə ɣ ə
aanwezigheid	aː n ʋ eː z ə x ɦ ɛ i̯ t
aanwijzen	aː n ʋ ɛ i̯ z ə n
aanwijzing	aː n ʋ ɛ i z ɪ ŋ
aanwinst	aː n ʋ ɪ n s t
aanzien	aː n z i n
aanzienlijk	aː n z i n l ə k
aanzitten	aː n z ɪ t ə n
aanzoek	aː n z u k
aap	aː p
aapje	aː p j ə
aar	aː r
aard	aː r t
aardappelsalade	aː r d ɑ p ə l s aː l aː d ə
aardbeving	aː r t b eː v ɪ ŋ
aarde	aː r d ə
aarden	aː r d ə n
aardgas	aː r t x ɑ s
aardig	aː r d ə x
aards	aː r t s
aardwarmte	aː r t ʋ ɑ r m t ə
aars	aː r s
aart	aː r t
aarts	aː r t s
aartsbisschop	aː r t s b ɪ s x ɔ p
aartshertog	aː r t s ɦ ɛ r t ɔ x
aartshertogin	aː r t s ɦ ɛ r t oː ɣ ɪ n
aarzelen	aː r z ə l ə n
aas	aː s
abacus	ɑ b aː k ʏ s
abc	aː b eː s eː
abcoude	ɑ p k ɑ u̯ d ə
abdij	ɑ b d ɛ i̯
abdis	ɑ b d ɪ s
abel	aː b ə l
abn	aː b eː ɛ n
abnormaal	ɑ b n ɔ r m aː l
abonnee	ɑ b ɔ n eː
abonnement	ɑ b ɔ n ə m ɛ n t
abraham	aː b r aː ɦ ɑ m
absoluut	ɑ p s oː l y t
abstraheren	ɑ p s t r aː ɦ eː r ə n
absurd	ɑ p s ʏ r t
abt	ɑ p t
academie	aː k aː d eː m i
accent	ɑ k s ɛ n t
accentueren	ɑ k s ɛ n t y eː r ə n
acceptabel	ɑ k s ɛ p t aː b ə l
accepteren	ɑ k s ɛ p t eː r ə n
accessoire	ɑ s ə s ʋ aː r ə
accommodatie	ɑ k ɔ m oː d aː t s i
accountant	ɑ k ɑ u̯ n t ə n t
accu	ɑ k y
achilles	ɑ x ɪ l ə s
achtbaan	ɑ x t b aː n
achtduizend	ɑ x t d œ y̯ z ə n t
achteloos	ɑ x t ə l oː s
achteloosheid	ɑ x t ə l oː s ɦ ɛ i̯ t
achtenveertig	ɑ x t ə n v eː r t ə x
achteraf	ɑ x t ə r ɑ f
achterban	ɑ x t ə r b ɑ n
achterblijven	ɑ x t ə r b l ɛ i̯ v ə n
achtereen	ɑ x t ə r eː n
achtereenvolgens	ɑ x t ə r eː n v ɔ l ɣ ə n s
achtergrond	ɑ x t ə r ɣ r ɔ n t
achtergrondkleur	ɑ x t ə r ɣ r ɔ n t k l øː r
achtergrondmuziek	ɑ x t ə r ɣ r ɔ n t m y z i k
achterhaald	ɑ x t ə r ɦ aː l t
achterhalen	ɑ x t ə r ɦ aː l ə n
achterhoek	ɑ x t ə r ɦ u k
achterhoeks	ɑ x t ə r ɦ u k s
achterhoofd	ɑ x t ə r ɦ oː f t
achterin	ɑ x t ə r ɪ n
achterkant	ɑ x t ə r k ɑ n t
achterlaten	ɑ x t ə r l aː t ə n
achterlating	ɑ x t ə r l aː t ɪ ŋ
achterlijf	ɑ x t ə r l ɛ i̯ f
achternaam	ɑ x t ə r n aː m
achterop	ɑ x t ə r ɔ p
achterover	ɑ x t ə r oː v ə r
achterstand	ɑ x t ə r s t ɑ n t
achterstevoren	ɑ x t ə r s t ə v oː r ə n
achtertuin	ɑ x t ə r t œ y̯ n
achtervolgen	ɑ x t ə r v ɔ l ɣ ə n
achtervolging	ɑ x t ə r v ɔ l ɣ ɪ ŋ
achthoek	ɑ x t ɦ u k
achthonderd	ɑ x t ɦ ɔ n d ə r t
achting	ɑ x t ɪ ŋ
achtste	ɑ x t s t ə
achttien	ɑ x t i n
acne	ɑ k n eː
acrobaat	ɑ k r oː b aː t
acrobatiek	ɑ k r oː b aː t i k
acryl	ɑ k r i l
acteur	ɑ k t øː r
actie	ɑ k s i
actief	ɑ k t i f
actieradius	ɑ k s i r aː d i ʏ s
actinium	ɑ k t i n i ʏ m
activa	ɑ k t i v aː
activisme	ɑ k t i v ɪ s m ə
activiteit	ɑ k t i v i t ɛ i̯ t
actor	ɑ k t ɔ r
actrice	ɑ k t r i s ə
actualiteit	ɑ k t y aː l i t ɛ i̯ t
actualiteitenprogramma	ɑ k t y aː l i t ɛ i̯ t ə n p r oː ɣ r ɑ m aː
acupunctuur	ɑ k y p ʏ ŋ k t y r
acuut	aː k y t
ad	ɑ t
adam	aː d ɑ m
adat	aː d ɑ t
adel	aː d ə l
adelaar	aː d ə l aː r
adeldom	aː d ə l d ɔ m
adelheid	aː d ə l ɦ ɛ i̯ t
adembenemend	aː d ə m b ə n eː m ə n t
ademhaling	aː d ə m ɦ aː l ɪ ŋ
ademloos	aː d ə m l oː s
ademnood	aː d ə m n oː t
adequaat	aː d ə k ʋ aː t
ader	aː d ə r
aderlating	aː d ə r l aː t ɪ ŋ
admin	ɛ d m ɪ n
admiraal	ɑ t m i r aː l
adobe	ɑ d oː b ə
adolf	aː d ɔ l f
adopteren	aː d ɔ p t eː r ə n
adres	aː d r ɛ s
adri	aː d r i
adriaan	aː d r i aː n
adrie	aː d r i
advent	ɑ t f ɛ n t
advies	ɑ t f i s
adviseren	ɑ t f i z eː r ə n
adviseur	ɑ t f i z øː r
advocatuur	ɑ t f oː k aː t yː r
aerobics	ɛ r ɔ b ɪ k s
af	ɑ f
afbakening	ɑ f b aː k ə n ɪ ŋ
afbeelding	ɑ f b eː l d ɪ ŋ
afbetaling	ɑ v b ə t aː l ɪ ŋ
afblijven	ɑ f b l ɛ i̯ v ə n
afbraak	ɑ f b r aː k
afbreken	ɑ v b r eː k ə n
afdaling	ɑ f d aː l ɪ ŋ
afdekken	ɑ f d ɛ k ə n
afdeling	ɑ f d eː l ɪ ŋ
afdoen	ɑ f d u n
afdragen	ɑ f d r aː ɣ ə n
afdruk	ɑ v d r ʏ k
affiche	ɑ f i ʃ ə
afgaan	ɑ f x aː n
afgang	ɑ f x ɑ ŋ
afgebroken	ɑ f x ə b r oː k ə n
afgekeurd	ɑ f x ə k øː r t
afgekocht	ɑ f x ə k ɔ x t
afgelasting	ɑ f x ə l ɑ s t ɪ ŋ
afgelegen	ɑ f x ə l eː ɣ ə n
afgeleide	ɑ f x ə l ɛ i̯ d ə
afgelopen	ɑ f x ə l oː p ə n
afgeven	ɑ f x eː v ə n
afgezonderd	ɑ f x ə z ɔ n d ə r t
afghaan	ɑ f x aː n
afghaanse	ɑ f x aː n s ə
afghanistan	ɑ f x aː n i s t ɑ n
afgieten	ɑ f x i t ə n
afgietsel	ɑ f x i t s ə l
afgoderij	ɑ f x oː d ə r ɛ i̯
afhaalrestaurant	ɑ f ɦ aː l r ɛ s t oː r ɑ n t
afhalen	ɑ f ɦ aː l ə n
afhandelen	ɑ f ɦ ɑ n d ə l ə n
afhangen	ɑ f ɦ ɑ ŋ ə n
afhankelijk	ɑ f ɦ ɑ ŋ k ə l ə k
afkeer	ɑ f k eː r
afknippen	ɑ f k n ɪ p ə n
afkoeling	ɑ f k u l ɪ ŋ
afkomen	ɑ f k oː m ə n
afkomst	ɑ f k ɔ m s t
afkomstig	ɑ f k ɔ m s t ə x
afkorting	ɑ f k ɔ r t ɪ ŋ
afleiden	ɑ f l ɛ i̯ d ə n
afleveren	ɑ f l eː v ə r ə n
aflevering	ɑ f l eː v ə r ɪ ŋ
aflezen	ɑ f l eː z ə n
afloop	ɑ f l oː p
aflopen	ɑ f l oː p ə n
aflossen	ɑ f l ɔ s ə n
afluisteren	ɑ f l œ y̯ s t ə r ə n
afmelden	ɑ f m ɛ l d ə n
afmeten	ɑ f m eː t ə n
afmeting	ɑ f m eː t ɪ ŋ
afname	ɑ f n aː m ə
afnemen	ɑ f n eː m ə n
afpersen	ɑ f p ɛ r s ə n
afpersing	ɑ f p ɛ r s ɪ ŋ
afrekenen	ɑ f r eː k ə n ə n
afrij	ɑ f r ɛ i̯
afrika	aː f r i k aː
afrit	ɑ f r ɪ t
afschaffen	ɑ f s x ɑ f ə n
afscheiding	ɑ f s x ɛ i̯ d ɪ ŋ
afscheidingsbeweging	ɑ f s x ɛ i̯ d ɪ ŋ s b ə ʋ eː ɣ ɪ ŋ
afschieten	ɑ f s x i t ə n
afschrift	ɑ f s x r ɪ f t
afschrikken	ɑ f s x r ɪ k ə n
afschrikking	ɑ f s x r ɪ k ɪ ŋ
afslaan	ɑ f s l aː n
afslag	ɑ f s l ɑ x
afslanken	ɑ f s l ɑ ŋ k ə n
afsluiten	ɑ f s l œ y̯ t ə n
afsnijden	ɑ f s n ɛ i̯ d ə n
afsplitsing	ɑ f s p l ɪ t s ɪ ŋ
afspraak	ɑ f s p r aː k
afspreken	ɑ f s p r eː k ə n
afstaan	ɑ f s t aː n
afstammeling	ɑ f s t ɑ m ə l ɪ ŋ
afstamming	ɑ f s t ɑ m ɪ ŋ
afstandsbediening	ɑ f s t ɑ n t s b ə d i n ɪ ŋ
afstappen	ɑ f s t ɑ p ə n
afsteken	ɑ f s t eː k ə n
afstemmen	ɑ f s t ɛ m ə n
afstoffen	ɑ f s t ɔ f ə n
aftrap	ɑ f t r ɑ p
aftrek	ɑ f t r ɛ k
aftrekken	ɑ f t r ɛ k ə n
afvaardigen	ɑ f aː r d ə ɣ ə n
afvaart	ɑ f aː r t
afval	ɑ f ɑ l
afvallen	ɑ f ɑ l ə n
afvallig	ɑ f ɑ l ə x
afvallige	ɑ f ɑ l ə ɣ ə
afvoer	ɑ f uː r
afvragen	ɑ f r aː ɣ ə n
afwachten	ɑ f ʋ ɑ x t ə n
afwas	ɑ f ʋ ɑ s
afweging	ɑ f ʋ eː ɣ ɪ ŋ
afweren	ɑ f ʋ eː r ə n
afwerken	ɑ f ʋ ɛ r k ə n
afwezig	ɑ f ʋ eː z ə x
afwezigheid	ɑ f ʋ eː z ə x ɦ ɛ i̯ t
afwijken	ɑ f ʋ ɛ i̯ k ə n
afwijzen	ɑ f ʋ ɛ i̯ z ə n
afwikkelen	ɑ f ʋ ɪ k ə l ə n
afwisselen	ɑ f ʋ ɪ s ə l ə n
afwisselend	ɑ f ʋ ɪ s ə l ə n t
afwisseling	ɑ f ʋ ɪ s ə l ɪ ŋ
afzetmarkt	ɑ f z ɛ t m ɑ r k t
afzetten	ɑ f s ɛ t ə n
afzetting	ɑ f z ɛ t ɪ ŋ
afzonderlijk	ɑ f s ɔ n d ə r l ə k
afzuigen	ɑ f z œ y̯ ɣ ə n
afzuigkap	ɑ f z œ y̯ x k ɑ p
agaten	aː ɣ aː t ə n
agendapunt	aː ɣ ɛ n d aː p ʏ n t
agente	aː ɣ ɛ n t ə
agentschap	aː ɣ ɛ n t s x ɑ p
agogiek	aː ɣ oː ɣ i k
agressie	ɑ ɣ r ɛ s i
agressief	ɑ ɣ r ɛ s i f
ai	ɑ i
aids	eː t s
air	ɛː r
airco	ɛ r k oː
airconditioning	ɛː r k ɔ n d ɪ ʃ ə n ɪ ŋ
aivd	aː i v eː d eː
ajuin	aː j œ y̯ n
akademie	aː k aː d eː m i
akelig	aː k ə l ə x
akker	ɑ k ə r
akkerland	ɑ k ə r l ɑ n t
akkerman	ɑ k ə r m ɑ n
akkoord	ɑ k oː r t
akoestisch	aː k u s t i s
aks	ɑ k s
akte	ɑ k t ə
aktentas	ɑ k t ə n t ɑ s
al	ɑ l
alarm	aː l ɑ r m
alarmcentrale	aː l ɑ r m s ɛ n t r aː l ə
alarmsignaal	ɑ l ɑ r m s ɪ n j aː l
albanees	ɑ l b aː n eː s
albanië	ɑ l b aː n i j ə
albatros	ɑ l b aː t r ɔ s
albert	ɑ l b ə r t
album	ɑ l b ʏ m
aldaar	ɑ l d aː r
aldus	ɑ l d ʏ s
ale	eː l
alert	aː l ɛ r t
alertheid	aː l ɛ r t ɦ ɛ i̯ t
alfabet	ɑ l f aː b ɛ t
alfons	ɑ l f ɔ n s
algemeen	ɑ l ɣ ə m eː n
algemeenheid	ɑ l ɣ ə m eː n ɦ ɛ i̯ t
algerije	ɑ l ɣ ə r ɛ i̯ ə
algoritme	ɑ l ɣ oː r ɪ t m ə
alhoewel	ɑ l ɦ u ʋ ɛ l
ali	aː l i
alibi	aː l i b i
alida	aː l i d aː
alien	eː l i ə n
alkmaar	ɑ l k m aː r
allah	ɑ l aː
allang	ɑ l ɑ ŋ
alleen	ɑ l eː n
alleenheerser	ɑ l eː n ɦ eː r s ə r
allemachtig	ɑ l ə m ɑ x t ə x
allen	ɑ l ə n
allengs	ɑ l ɛ ŋ s
aller	ɑ l ə r
allerhande	ɑ l ə r ɦ ɑ n d ə
allerlei	ɑ l ə r l ɛ i̯
alles	ɑ l ə s
alleszins	ɑ l ə s ɪ n s
alliantie	ɑ l i ɑ n t s i
allicht	ɑ l ɪ x t
allochtoon	ɑ l ɔ x t oː n
almaar	ɑ l m aː r
almacht	ɑ l m ɑ x t
almere	ɑ l m eː r ə
alom	ɑ l ɔ m
alomtegenwoordig	ɑ l ɔ m t eː ɣ ə n ʋ oː r d ə x
alonso	aː l ɔ n z oː
aloë	aː l oː eː
alpaca	ɑ l p aː k aː
als	ɑ l s
alsem	ɑ l s ə m
alsjeblieft	ɑ l ʃ ə b l i f t
alsmaar	ɑ l s m aː r
alsmede	ɑ l s m eː d ə
alsnog	ɑ l s n ɔ x
alsof	ɑ l s ɔ f
alsook	ɑ l s oː k
alstublieft	ɑ l s t y b l i f t
altaar	ɑ l t aː r
althans	ɑ l t ɑ n s
altijd	ɑ l t ɛ i̯ t
altoos	ɑ l t oː s
aluminium	aː l y m i n i ʏ m
alvast	ɑ l v ɑ s t
alvleesklier	ɑ l v l eː s k l iː r
alvorens	ɑ l v oː r ə n s
alweer	ɑ l ʋ eː r
alzo	ɑ l z oː
amandel	aː m ɑ n d ə l
amaretto	aː m aː r ɛ t oː
amateur	ɑ m aː t øː r
ambacht	ɑ m b ɑ x t
ambachtelijk	ɑ m b ɑ x t ə l ə k
ambassade	ɑ m b ɑ s aː d ə
ambassadeur	ɑ m b ɑ s aː d øː r
amber	ɑ m b ə r
ambigu	ɑ m b i ɣ y
ambiguïteit	ɑ m b i ɣ y i t ɛ i̯ t
ambitie	ɑ m b i t s i
ambivalentie	ɑ m b i v aː l ɛ n t s i
ambt	ɑ m p t
ambtelijk	ɑ m p t ə l ə k
ambtenaar	ɑ m p t ə n aː r
ambtgenoot	ɑ m p t x ə n oː t
ambulance	ɑ m b y l ɑ n s ə
ameland	aː m ə l ɑ n t
amen	aː m ə n
amendement	aː m ɑ n d ə m ɛ n t
amerika	ɑ m eː r i k aː
amerikaan	aː m eː r i k aː n
amerongen	aː m ə r ɔ ŋ ə n
aminozuur	aː m i n oː z yː r
amnesie	ɑ m n eː z i
amnestie	ɑ m n ɛ s t i
ampul	ɑ m p ʏ l
amstel	ɑ m s t ə l
amstelveen	ɑ m s t ə l v eː n
amsterdam	ɑ m s t ə r d ɑ m
amsterdammer	ɑ m s t ə r d ɑ m ə r
amsterdams	ɑ m s t ə r d ɑ m s
amulet	aː m y l ɛ t
anaal	aː n aː l
analist	aː n aː l ɪ s t
analogie	aː n aː l oː ɣ i
analoog	aː n aː l oː x
analyse	aː n aː l iː z ə
analyseren	aː n aː l i z eː r ə n
analytisch	aː n aː l i t i s s
ananas	ɑ n aː n ɑ s
anatomie	aː n aː t oː m i
ander	ɑ n d ə r
anderhalf	ɑ n d ə r ɦ ɑ l f
anders	ɑ n d ə r s
andersom	ɑ n d ə r s ɔ m
anderstalig	ɑ n d ə r s t aː l ə x
andersvalide	ɑ n d ə r s f aː l i d ə
anderszins	ɑ n d ə r s ɪ n s
anderzijds	ɑ n d ə r z ɛ i̯ t s
andreas	ɑ n d r eː ɑ s
andries	ɑ n d r i s
anekdote	aː n ɛ k d oː t ə
anemie	aː n eː m i
anesthesie	ɑ n ɛ s t eː z i
angel	ɑ ŋ ə l
angina	ɑ ŋ ɣ i n aː
angstig	ɑ ŋ s t ə x
animo	aː n i m oː
anker	ɑ ŋ k ə r
anna	ɑ n aː
anne	ɑ n ə
annemieke	ɑ n ə m i k ə
annexatie	ɑ n ɛ k s aː t s i
anno	ɑ n oː
annuleren	ɑ n y l eː r ə n
anoniem	aː n oː n i m
anouk	aː n u k
ans	ɑ n s
ansichtkaart	ɑ n z ɪ x t k aː r t
antarctica	ɑ n t ɑ r k t i k aː
antarctisch	ɑ n t ɑ r k t i s
anticonceptie	ɑ n t i k ɔ n s ɛ p s i
antiek	ɑ n t i k
antiheld	ɑ n t i ɦ ɛ l t
antropologie	ɑ n t r oː p oː l oː ɣ i
antwerpen	ɑ n t ʋ ɛ r p ə n
antwerpenaar	ɑ n t ʋ ɛ r p ə n aː r
antwoord	ɑ n t ʋ oː r t
antwoorden	ɑ n t ʋ oː r d ə n
aorta	aː ɔ r t aː
apart	aː p ɑ r t
apartheid	aː p ɑ r t ɦ ɛ i̯ t
apk	aː p eː k aː
apologie	aː p oː l oː ɣ i
apostolaat	aː p ɔ s t oː l aː t
apostolisch	aː p ɔ s t oː l i s
apotheker	ɑ p oː t eː k ə r
apparaat	ɑ p aː r aː t
apparatuur	ɑ p aː r aː t yː r
appartementencomplex	ɑ p ɑ r t ə m ɛ n t ə n k ɔ m p l ɛ k s
appelhof	ɑ p ə l ɦ ɔ f
appelmoes	ɑ p ə l m u s
appelsap	ɑ p ə l s ɑ p
appeltaart	ɑ p ə l t aː r t
appendix	ɑ p ɛ n d ɪ k s
applicatie	ɑ p l i k aː t s i
appèl	ɑ p ɛ l
april	ɑ p r ɪ l
aquarist	aː k ʋ aː r ɪ s t
aquarium	aː k ʋ aː r i ʏ m
arabier	aː r aː b iː r
arabisch	ɑ r aː b i s
arabië	aː r aː b i ə
arbeidsmarkt	ɑ r b ɛ i̯ t s m ɑ r k t
arcade	ɑ r k aː d ə
arcadehal	ɑ r k aː d ə ɦ ɑ l
archeologie	ɑ r x eː j oː l oː ɣ i
archeologisch	ɑ r x eː oː l oː ɣ i s
archiefmateriaal	ɑ r x i f m aː t eː r i aː l
architectuur	ɑ r x i t ɛ k t y r
archiveren	ɑ r x i v eː r ə n
arduin	ɑ r d œ y̯ n
are	aː r ə
arend	aː r ə n t
argentinië	ɑ r ɣ ɛ n t i n i ə
argon	ɑ r ɣ ɔ n
argus	ɑ r ɣ ʏ s
arie	aː r i
aristocraat	aː r ɪ s t oː k r aː t
ariër	aː r i ə r
ark	ɑ r k
armatuur	ɑ r m aː t yː r
armband	ɑ r m b ɑ n t
armoede	ɑ r m u d ə
armoedegrens	ɑ r m u d ə ɣ r ɛ n s
arnhem	ɑ r n ɦ ɛ m
arnoud	ɑ r n ɑ u̯ t
aroma	aː r oː m aː
arp	aː ɛ r p eː
arrest	ɑ r ɛ s t
arresteren	ɑ r ɛ s t eː r ə n
arrogant	ɑ r oː ɣ ɑ n t
arrogantie	ɑ r oː ɣ ɑ n t s i
arsenaal	ɑ r s ə n aː l
artefact	ɑ r t ə f ɑ k t
arthur	ɑ r t y r
artistiek	ɑ r t ɪ s t i k
arts	ɑ r t s
as	ɑ s
asbest	ɑ s b ɛ s t
asfalt	ɑ s f ɑ l t
asiel	aː z i l
aspect	ɑ s p ɛ k t
assen	ɑ s ə n
assistent	ɑ s i s t ɛ n t
assistente	ɑ s i s t ɛ n t ə
assisteren	ɑ s i s t eː r ə n
assortiment	ɑ s ɔ r t i m ɛ n t
astma	ɑ s t m aː
astrant	ɑ s t r ɑ n t
astrid	ɑ s t r ɪ t
astrologisch	ɑ s t r oː l oː ɣ i s
asymptomatisch	aː s ɪ m p t oː m aː t i s
at	ɑ t
atelier	aː t ə l j eː
aten	aː t ə n
athene	aː t eː n ə
atheïst	aː t eː j ɪ ʃ t
atjeh	ɑ t j eː
atlas	ɑ t l ɑ s
atleet	ɑ t l eː t
atmosfeer	ɑ t m ɔ s f eː r
atol	aː t ɔ l
atoombom	aː t oː m b ɔ m
attent	ɑ t ɛ n t
attometer	ɑ t oː m eː t ə r
attractie	ɑ t r ɑ k s i
attractiepark	ɑ t r ɑ k s i p ɑ r k
attribuut	ɑ t r i b y t
au	ɑ u̯
audio	ɑ u̯ d i oː
auditie	ɑ u̯ d i t s i
augustus	ɑ u̯ ɣ ʏ s t ʏ s
aura	ɑ u̯ r aː
aureool	ɑ u̯ r eː oː l
australië	ɑ u̯ s t r aː l i j ə
australiër	ɑ u s t r aː l i ə r
autisme	ɑ u̯ t ɪ s m ə
autismespectrumstoornis	ɑ u̯ t ɪ s m ə s p ɛ k t r ʏ m s t oː r n ɪ s
automatisch	ɑ u̯ t oː m aː t i s
automatiseren	ɑ u̯ t oː m aː t i z eː r ə n
automatisering	ɑ u̯ t oː m aː t i z eː r ɪ ŋ
autorijschool	ɑ u̯ t oː r ɛ i̯ s x oː l
autoriteit	ɑ u̯ t oː t i t ɛ i̯ t
autoverzekering	ɑ u̯ t oː v ə r z eː k ə r ɪ ŋ
averechts	aː v ə r ɛ x t s
avond	aː v ɔ n t
avondeten	aː v ɔ n t eː t ə n
avondmaal	aː v ɔ n t m aː l
avondschemering	aː v ɔ n t s x eː m ə r ɪ ŋ
avontuur	aː v ɔ n t y r
axiomatisch	ɑ k s i oː m aː t i s
azië	aː z i j ə
baai	b aː i̯
baal	b aː l
baan	b aː n
baanbrekend	b aː n b r eː k ə n t
baar	b aː r
baard	b aː r t
baardig	b aː r d ə x
baarmoeder	b aː r m u d ə r
baas	b aː s
babbelen	b ɑ b ə l ə n
babel	b aː b ə l
baby	b eː b i
babylon	b aː b i l ɔ n
bacterie	b ɑ k t eː r i
baden	b aː d ə n
badjas	b ɑ t j ɑ s
badkamer	b ɑ t k aː m ə r
badplaats	b ɑ t p l aː t s
bagage	b aː ɣ aː ʒ ə
bagatelliseren	b aː ɣ aː t ɛ l i z eː r ə n
bagdad	b ɑ x d ɑ t
bahasa	b aː ɦ aː s aː
bak	b ɑ k
bakermat	b aː k ə r m ɑ t
bakfiets	b ɑ k f i t s
bakje	b ɑ k j ə
bakken	b ɑ k ə n
bakker	b ɑ k ə r
bakkerij	b ɑ k ə r ɛ i̯
bakkie	b ɑ k i
bakoe	b aː k u
