ᆯ지	ʎ t͡ɕ͈ i
가시	k a̠ ɕʰ i
가시고기	k a̠ ɕʰ i ɡ o̞ ɡ i
가시나	k a̠ ɕʰ i n a̠
가시나무	k a̠ ɕʰ i n a̠ m u
가시다	k a̠ ɕʰ i d a̠
가시아버지	k a̠ ɕʰ i a̠ b ʌ̹ d͡ʑ i
가시화	k a̠ ɕʰ i β w a̠
가식	k a̠ː ɕʰ i k̚
가야금	k a̠ j a̠ ɡ ɯ m
가엾다	k a̠ː j ʌ̹ p̚ t͈ a̠
가운데	k a̠ u n d e̞
가운데소리	k a̠ u n d e̞ sʰ o̞ ɾ i
가위	k a̠ ɥ i
가위바위보	k a̠ ɥ i b a̠ ɥ i b o̞
가을	k a̠ ɯ ɭ
가을철	k a̠ ɯ ʎ t͡ɕʰ ʌ̹ ɭ
가이드	k a̠ i d ɯ
가자	k a̠ d͡ʑ a̠
가장자리	k a̠ː d͡ʑ a̠ ŋ d͡ʑ a̠ ɾ i
가정법	k a̠ː d͡ʑ ʌ̹ ŋ p͈ ʌ̹ p̚
가제	k a̠ d͡ʑ e̞
가제따	k a̠ d͡ʑ e̞ t͈ a̠
가젤	k a̠ d͡ʑ e̞ ɭ
가져가다	k a̠ d͡ʑ ʌ̹ ɡ a̠ d a̠
가져오다	k a̠ d͡ʑ ʌ̹ o̞ d a̠
가지	k a̠ d͡ʑ i
가지고	k a̠ d͡ʑ i ɡ o̞
가지다	k a̠ d͡ʑ i d a̠
가지뿔	k a̠ d͡ʑ i p͈ u ɭ
가차	k a̠ t͡ɕʰ a̠
가축	k a̠ t͡ɕʰ u k̚
가톨릭	k a̠ tʰ o̞ ʎ ʎ i k̚
가톨릭교회	k a̠ tʰ o̞ ʎ ʎ i k̚ k͈ j o β w e̞
가파르다	k a̠ pʰ a̠ ɾ ɯ d a̠
가히	k a̠ː ʝ i
각국	k a̠ k̚ k͈ u k̚
각기	k a̠ k̚ k͈ i
각다귀	k a̠ k̚ t͈ a̠ ɡ ɥ i
각도	k a̠ k̚ t͈ o̞
각막	k a̠ ŋ m a̠ k̚
각본	k a̠ k̚ p͈ o̞ n
각선미	k a̠ k s͈ ʌ̹ n m i
각설	k a̠ k s͈ ʌ̹ ɭ
각시	k a̠ k ɕ͈ i
각자	k a̠ k̚ t͡ɕ͈ a̠
각종	k a̠ k̚ t͡ɕ͈ o̞ ŋ
각하	k a̠ kʰ a̠
간간이	k a̠ n ɡ a̠ n i
간극	k a̠ n ɡ ɯ k̚
간단히	k a̠ n d a̠ n ʝ i
간드리	k a̠ n d ɯ ɾ i
간부	k a̠ n b u
간사	k a̠ n sʰ a̠
간사하다	k a̠ n sʰ a̠ ɦ a̠ d a̠
간선도로	k a̠ n sʰ ʌ̹ n d o̞ ɾ o̞
간성	k a̠ n sʰ ʌ̹ ŋ
간식	k a̠ː n ɕʰ i k̚
간악하다	k a̠ n a̠ kʰ a̠ d a̠
간유	k a̠ː ɲ j u
간음	k a̠ː n ɯ m
간절	k a̠ ɲ d͡ʑ ʌ̹ ɭ
간접	k a̠ː ɲ d͡ʑ ʌ̹ p̚
간주	k a̠ː ɲ d͡ʑ u
간지	k a̠ ɲ d͡ʑ i
간지럼	k a̠ ɲ d͡ʑ i ɾ ʌ̹ m
간질	k a̠ː ɲ d͡ʑ i ɭ
간질거리다	k a̠ ɲ d͡ʑ i ɭ ɡ ʌ̹ ɾ i d a̠
간질이다	k a̠ ɲ d͡ʑ i ɾ i d a̠
간첩	k a̠ː ɲ t͡ɕʰ ʌ̹ p̚
간체	k a̠ ɲ t͡ɕʰ e̞
간통	k a̠ː n tʰ o̞ ŋ
간판	k a̠ n pʰ a̠ n
간편하다	k a̠ n pʰ j ʌ̹ n ɦ a̠ d a̠
간헐천	k a̠ː n ɦ ʌ̹ ʎ t͡ɕʰ ʌ̹ n
간호사	k a̠ n β o̞ sʰ a̠
간혹	k a̠ː n β o̞ k̚
갈고	k a̠ ɭ ɡ o̞
갈기	k a̠ː ɭ ɡ i
갈등	k a̠ ɭ t͈ ɯ ŋ
갈륨	k a̠ ʎ ʎ j u m
갈리시아	k a̠ ʎ ʎ i ɕʰ i a̠
갈림길	k a̠ ʎ ʎ i m k͈ i ɭ
갈망	k a̠ ɭ m a̠ ŋ
갈망하다	k a̠ ɭ m a̠ ŋ ɦ a̠ d a̠
갈비	k a̠ ɭ b i
갈비뼈	k a̠ ɭ b i p͈ j ʌ̹
갈비탕	k a̠ ɭ b i tʰ a̠ ŋ
갈수록	k a̠ ɭ s͈ u ɾ o̞ k̚
갈아타다	k a̠ ɾ a̠ tʰ a̠ d a̠
갈증	k a̠ ʎ t͡ɕ͈ ɯ ŋ
갉다	k a̠ k̚ t͈ a̠
감각	k a̠ː m ɡ a̠ k̚
감각적	k a̠ m ɡ a̠ k̚ t͡ɕ͈ ʌ̹ k̚
감금	k a̠ m ɡ ɯ m
감기	k a̠ː m ɡ i
감당	k a̠ m d a̠ ŋ
감당하다	k a̠ m d a̠ ŋ ɦ a̠ d a̠
감동	k a̠ː m d o̞ ŋ
감리교	k a̠ m n i ɡ j o
감마	k a̠ m m a̠
감명	k a̠ m m j ʌ̹ ŋ
감미료	k a̠ m m i ɾ j o
감방	k a̠ m b a̠ ŋ
감사하다	k a̠ː m sʰ a̠ ɦ a̠ d a̠
감상	k a̠ m sʰ a̠ ŋ
감소	k a̠ː m sʰ o̞
감수하다	k a̠ː m sʰ u ɦ a̠ d a̠
감시	k a̠ m ɕʰ i
감시하다	k a̠ m ɕʰ i ɦ a̠ d a̠
감안	k a̠ m a̠ n
감염	k a̠ː m j ʌ̹ m
감옥	k a̠ m o̞ k̚
감자튀김	k a̠ m d͡ʑ a̠ tʰ ɥ i ɡ i m
감전	k a̠ː m d͡ʑ ʌ̹ n
감정	k a̠ː m d͡ʑ ʌ̹ ŋ
감초	k a̠ m t͡ɕʰ o̞
감탄	k a̠ː m tʰ a̠ n
갑분싸	k a̠ p̚ p͈ u n s͈ a̠
갑자기	k a̠ p̚ t͡ɕ͈ a̠ ɡ i
갑작스레	k a̠ p̚ t͡ɕ͈ a̠ k s͈ ɯ ɾ e̞
갑충	k a̠ p̚ t͡ɕʰ u ŋ
갑판	k a̠ p̚ pʰ a̠ n
강가	k a̠ ŋ k͈ a̠
강간	k a̠ː ŋ ɡ a̠ n
강간하다	k a̠ː ŋ ɡ a̠ n ɦ a̠ d a̠
강경	k a̠ ŋ ɡ j ʌ̹ ŋ
강국	k a̠ ŋ ɡ u k̚
강당	k a̠ː ŋ d a̠ ŋ
강력	k a̠ ŋ ɲ j ʌ̹ k̚
강력하다	k a̠ ŋ ɲ j ʌ̹ kʰ a̠ d a̠
강렬하다	k a̠ ŋ ɲ j ʌ̹ ɾ ɦ a̠ d a̠
강림	k a̠ː ŋ n i m
강물	k a̠ ŋ m u ɭ
강변	k a̠ ŋ b j ʌ̹ n
강설	k a̠ː ŋ sʰ ʌ̹ ɭ
강세	k a̠ ŋ sʰ e̞
강수	k a̠ː ŋ sʰ u
강아지	k a̠ ŋ a̠ d͡ʑ i
강아지풀	k a̠ ŋ a̠ d͡ʑ i pʰ u ɭ
강요	k a̠ː ŋ j o
강요하다	k a̠ː ŋ j o ɦ a̠ d a̠
강원도	k a̠ ŋ w ʌ̹ n d o̞
강의	k a̠ː ŋ ɰ i
강점기	k a̠ː ŋ d͡ʑ ʌ̹ m ɡ i
강정	k a̠ ŋ d͡ʑ ʌ̹ ŋ
강제	k a̠ː ŋ d͡ʑ e̞
강조하다	k a̠ ŋ d͡ʑ o̞ ɦ a̠ d a̠
강준치	k a̠ ŋ d͡ʑ u ɲ t͡ɕʰ i
강철	k a̠ ŋ t͡ɕʰ ʌ̹ ɭ
강추	k a̠ ŋ t͡ɕʰ u
강판	k a̠ ŋ pʰ a̠ n
강하다	k a̠ ŋ ɦ a̠ d a̠
강화도	k a̠ ŋ β w a̠ d o̞
갖가지	k a̠ t̚ k͈ a̠ d͡ʑ i
갖다	k a̠ t̚ t͈ a̠
같다	k a̠ t̚ t͈ a̠
같은	k a̠ tʰ ɯ n
같이	k a̠ t͡ɕʰ i
같이하다	k a̠ t͡ɕʰ i ɦ a̠ d a̠
같잖다	k a̠ t̚ t͡ɕ͈ a̠ n tʰ a̠
갚다	k a̠ p̚ t͈ a̠
개고기	k ɛː ɡ o̞ ɡ i
개나리	k ɛː n a̠ ɾ i
개나리꽃	k ɛː n a̠ ɾ i k͈ o̞ t̚
개다	k ɛː d a̠
개량	k ɛː ɾ j a̠ ŋ
개성	k ɛː sʰ ʌ̹ ŋ
개수	k ɛː s͈ u
개요	k ɛː j o
개인적	k ɛː i ɲ d͡ʑ ʌ̹ k̚
개정판	k ɛː d͡ʑ ʌ̹ ŋ pʰ a̠ n
개천	k ɛː t͡ɕʰ ʌ̹ n
개체	k ɛː t͡ɕʰ e̞
개판	k ɛː pʰ a̠ n
개혁	k ɛː ʝ j ʌ̹ k̚
갸웃거리다	k j a̠ u t̚ k͈ ʌ̹ ɾ i d a̠
갹출	k j a̠ k̚ t͡ɕʰ u ɭ
거기	k ʌ̹ ɡ i
거드름	k ɘː d ɯ ɾ ɯ m
거든	k ʌ̹ d ɯ n
거듭	k ʌ̹ d ɯ p̚
거뜨다	k ʌ̹ t͈ ɯ d a̠
거리다	k ʌ̹ ɾ i d a̠
거릿모테이	k ʌ̹ ɾ i n m o̞ tʰ e̞ i
거만	k ɘː m a̠ n
거만하다	k ɘː m a̠ n ɦ a̠ d a̠
거머리	k ɘː m ʌ̹ ɾ i
거문고	k ʌ̹ m u n ɡ o̞
거미	k ʌ̹ m i
거미줄	k ʌ̹ m i d͡ʑ u ɭ
거부하다	k ɘː b u ɦ a̠ d a̠
거북선	k ʌ̹ b u k s͈ ʌ̹ n
거북이	k ʌ̹ b u ɡ i
거성	k ɘː sʰ ʌ̹ ŋ
거세	k ɘː sʰ e̞
거세다	k ʌ̹ sʰ e̞ d a̠
거스러미	k ʌ̹ sʰ ɯ ɾ ʌ̹ m i
거스름돈	k ʌ̹ sʰ ɯ ɾ ɯ m t͈ o̞ n
거슬리다	k ʌ̹ sʰ ɯ ʎ ʎ i d a̠
거시기	k ʌ̹ ɕʰ i ɡ i
거실	k ʌ̹ ɕʰ i ɭ
거야	k ɘː j a̠
거역	k ɘː j ʌ̹ k̚
거울	k ʌ̹ u ɭ
거유	k ɘː j u
거의	k ʌ̹ ɰ i
거인	k ɘː i n
거절	k ɘː d͡ʑ ʌ̹ ɭ
거주	k ʌ̹ d͡ʑ u
거주하다	k ʌ̹ d͡ʑ u ɦ a̠ d a̠
거즈	k ʌ̹ d͡ʑ ɯ
거지	k ɘː d͡ʑ i
거짓	k ɘː d͡ʑ i t̚
거짓말	k ɘː d͡ʑ i n m a̠ ɭ
거치적거리다	k ʌ̹ t͡ɕʰ i d͡ʑ ʌ̹ k̚ k͈ ʌ̹ ɾ i d a̠
거칠다	k ʌ̹ t͡ɕʰ i ɭ d a̠
거품	k ʌ̹ pʰ u m
걱정	k ʌ̹ k̚ t͡ɕ͈ ʌ̹ ŋ
건강	k ɘː n ɡ a̠ ŋ
건강하다	k ɘː n ɡ a̠ ŋ ɦ a̠ d a̠
건강히	k ɘː n ɡ a̠ ŋ ʝ i
건너가다	k ɘː n n ʌ̹ ɡ a̠ d a̠
건너다	k ɘː n n ʌ̹ d a̠
건너편	k ɘː n n ʌ̹ pʰ j ʌ̹ n
건넌편	k ɘː n n ʌ̹ n pʰ j ʌ̹ n
건널목	k ɘː n n ʌ̹ ɭ m o̞ k̚
건네다	k ɘː n n e̞ d a̠
건답	k ʌ̹ n d a̠ p̚
건더기	k ʌ̹ n d ʌ̹ ɡ i
건반	k ʌ̹ n b a̠ n
건설	k ɘː n sʰ ʌ̹ ɭ
건설하다	k ɘː n sʰ ʌ̹ ɾ ɦ a̠ d a̠
건의	k ɘː n ɰ i
건전하다	k ʌ̹ ɲ d͡ʑ ʌ̹ n ɦ a̠ d a̠
건조	k ʌ̹ ɲ d͡ʑ o̞
건조기	k ʌ̹ ɲ d͡ʑ o̞ ɡ i
건조하다	k ʌ̹ ɲ d͡ʑ o̞ ɦ a̠ d a̠
건지다	k ʌ̹ ɲ d͡ʑ i d a̠
건축	k ɘː ɲ t͡ɕʰ u k̚
건축가	k ɘː ɲ t͡ɕʰ u k̚ k͈ a̠
건축물	k ɘː ɲ t͡ɕʰ u ŋ m u ɭ
걸다	k ɘː ɭ d a̠
걸레	k ʌ̹ ɭ ɭ e̞
걸리다	k ʌ̹ ʎ ʎ i d a̠
걸신	k ʌ̹ ɭ ɕ͈ i n
걸어	k ʌ̹ ɾ ʌ̹
걸어가다	k ʌ̹ ɾ ʌ̹ ɡ a̠ d a̠
걸음	k ʌ̹ ɾ ɯ m
걸음마	k ʌ̹ ɾ ɯ m m a̠
걸인	k ʌ̹ ɾ i n
걸치다	k ɘː ʎ t͡ɕʰ i d a̠
걸프렌드	k ʌ̹ ɭ pʰ ɯ ɾ e̞ n d ɯ
걸핏	k ʌ̹ ɭ pʰ i t̚
검다	k ɘː m t͈ a̠
검도	k ɘː m d o̞
검독수리	k ʌ̹ m d o̞ k s͈ u ɾ i
검둥오리	k ʌ̹ m d u ŋ o̞ ɾ i
검둥오리사촌	k ʌ̹ m d u ŋ o̞ ɾ i sʰ a̠ t͡ɕʰ o̞ n
검둥이	k ʌ̹ m d u ŋ i
검사	k ɘː m sʰ a̠
검소하다	k ɘː m sʰ o̞ ɦ a̠ d a̠
검술	k ɘː m sʰ u ɭ
검역	k ɘː m j ʌ̹ k̚
검열	k ɘː m ɲ j ʌ̹ ɭ
검은금	k ʌ̹ m ɯ n ɡ ɯ m
검은딸기	k ʌ̹ m ɯ n t͈ a̠ ɭ ɡ i
검은머리흰죽지	k ʌ̹ m ɯ n m ʌ̹ ɾ i ʝ i ɲ d͡ʑ u k̚ t͡ɕ͈ i
검정	k ʌ̹ m d͡ʑ ʌ̹ ŋ
검정망둑	k ʌ̹ m d͡ʑ ʌ̹ ŋ m a̠ ŋ d u k̚
검토	k ɘː m tʰ o̞
겉핥다	k ʌ̹ tʰ a̠ ɭ t͈ a̠
게다가	k e̞ d a̠ ɡ a̠
게르마늄	k e̞ ɾ ɯ m a̠ ɲ j u m
게르만	k e̞ ɾ ɯ m a̠ n
게릴라	k e̞ ɾ i ɭ ɭ a̠
게스트하우스	k e̞ sʰ ɯ tʰ ɯ ɦ a̠ u sʰ ɯ
게시	k e̞ː ɕʰ i
게시판	k e̞ː ɕʰ i pʰ a̠ n
게시하다	k e̞ː ɕʰ i ɦ a̠ d a̠
게으르다	k e̞ ɯ ɾ ɯ d a̠
게으름	k e̞ ɯ ɾ ɯ m
게이샤	k e̞ i ɕʰ a̠
게이트	k e̞ i tʰ ɯ
게임	k͈ e̞ i m
게임기	k͈ e̞ i m ɡ i
게장	k e̞ d͡ʑ a̠ ŋ
겨누다	k j ʌ̹ n u d a̠
겨드랑이	k j ʌ̹ d ɯ ɾ a̠ ŋ i
겨레	k j ʌ̹ ɾ e̞
겨루다	k j ʌ̹ ɾ u d a̠
겨를	k j ʌ̹ ɾ ɯ ɭ
겨우	k j ʌ̹ u
겨울철	k j ʌ̹ u ʎ t͡ɕʰ ʌ̹ ɭ
겨자	k j ʌ̹ d͡ʑ a̠
격납고	k j ʌ̹ ŋ n a̠ p̚ k͈ o̞
격려	k j ʌ̹ ŋ ɲ j ʌ̹
격리	k j ʌ̹ ŋ n i
격언	k j ʌ̹ ɡ ʌ̹ n
겪다	k j ʌ̹ k̚ t͈ a̠
견디다	k j ʌ̹ n d i d a̠
견본	k j ɘː n b o̞ n
견유	k j ʌ̹ ɲ j u
견주다	k j ʌ̹ ɲ d͡ʑ u d a̠
결론	k j ʌ̹ ɭ ɭ o̞ n
결심	k j ʌ̹ ɭ ɕ͈ i m
결장	k j ʌ̹ ʎ t͡ɕ͈ a̠ ŋ
결정	k j ʌ̹ ʎ t͡ɕ͈ ʌ̹ ŋ
결정되다	k j ʌ̹ ʎ t͡ɕ͈ ʌ̹ ŋ d w e̞ d a̠
결정론	k j ʌ̹ ʎ t͡ɕ͈ ʌ̹ ŋ n o̞ n
결정짓다	k j ʌ̹ ʎ t͡ɕ͈ ʌ̹ ŋ d͡ʑ i t̚ t͈ a̠
결정하다	k j ʌ̹ ʎ t͡ɕ͈ ʌ̹ ŋ ɦ a̠ d a̠
결코	k j ʌ̹ ɭ kʰ o̞
결핍	k j ʌ̹ ɭ pʰ i p̚
결함	k j ʌ̹ ɾ ɦ a̠ m
결합	k j ʌ̹ ɾ ɦ a̠ p̚
결합되다	k j ʌ̹ ɾ ɦ a̠ p̚ t͈ w e̞ d a̠
결혼	k j ʌ̹ ɾ β o̞ n
겸손	k j ʌ̹ m sʰ o̞ n
겸손하다	k j ʌ̹ m sʰ o̞ n ɦ a̠ d a̠
겹다	k j ɘː p̚ t͈ a̠
경계	k j ʌ̹ ŋ ɡ j e̞
경고	k j ɘː ŋ ɡ o̞
경고창	k j ɘː ŋ ɡ o̞ t͡ɕʰ a̠ ŋ
경고하다	k j ɘː ŋ ɡ o̞ ɦ a̠ d a̠
경관	k j ʌ̹ ŋ ɡ w a̠ n
경구	k j ɘː ŋ k͈ u
경기도	k j ʌ̹ ŋ ɡ i d o̞
경기장	k j ɘː ŋ ɡ i d͡ʑ a̠ ŋ
경력	k j ʌ̹ ŋ ɲ j ʌ̹ k̚
경로	k j ʌ̹ ŋ n o̞
경멸적	k j ʌ̹ ŋ m j ʌ̹ ʎ t͡ɕ͈ ʌ̹ k̚
경보기	k j ɘː ŋ b o̞ ɡ i
경비원	k j ɘː ŋ b i w ʌ̹ n
경상남도	k j ɘː ŋ sʰ a̠ ŋ n a̠ m d o̞
경상도	k j ɘː ŋ sʰ a̠ ŋ d o̞
경성	k j ʌ̹ ŋ sʰ ʌ̹ ŋ
경시	k j ʌ̹ ŋ ɕʰ i
경악	k j ʌ̹ ŋ a̠ k̚
경어	k j ɘː ŋ ʌ̹
경영	k j ʌ̹ ŋ j ʌ̹ ŋ
경영자	k j ʌ̹ ŋ j ʌ̹ ŋ d͡ʑ a̠
경영하다	k j ʌ̹ ŋ j ʌ̹ ŋ ɦ a̠ d a̠
경외	k j ɘː ŋ w e̞
경우	k j ʌ̹ ŋ u
경이롭다	k j ʌ̹ ŋ i ɾ o̞ p̚ t͈ a̠
경제	k j ʌ̹ ŋ d͡ʑ e̞
경제적	k j ʌ̹ ŋ d͡ʑ e̞ d͡ʑ ʌ̹ k̚
경주	k j ɘː ŋ d͡ʑ u
경찰	k j ɘː ŋ t͡ɕʰ a̠ ɭ
경찰서	k j ɘː ŋ t͡ɕʰ a̠ ɭ s͈ ʌ̹
경청	k j ʌ̹ ŋ t͡ɕʰ ʌ̹ ŋ
경축	k j ɘː ŋ t͡ɕʰ u k̚
경치	k j ʌ̹ ŋ t͡ɕʰ i
경향	k j ʌ̹ ŋ ʝ j a̠ ŋ
경험	k j ʌ̹ ŋ ɦ ʌ̹ m
경험하다	k j ʌ̹ ŋ ɦ ʌ̹ m ɦ a̠ d a̠
계간	k j e̞ ɡ a̠ n
계곡	k j e̞ ɡ o̞ k̚
계급	k j e̞ ɡ ɯ p̚
계단	k j e̞ d a̠ n
계란	k j e̞ ɾ a̠ n
계란찜	k j e̞ ɾ a̠ ɲ t͡ɕ͈ i m
계량경제학	k j e̞ː ɾ j a̠ ŋ ɡ j ʌ̹ ŋ d͡ʑ e̞ ɦ a̠ k̚
계렬	k j e̞ ɾ j ʌ̹ ɭ
계모	k j e̞ː m o̞
계산	k j e̞ː sʰ a̠ n
계산기	k j e̞ː sʰ a̠ n ɡ i
계산서	k j e̞ː sʰ a̠ n sʰ ʌ̹
계산원	k j e̞ː sʰ a̠ n w ʌ̹ n
계속	k j e̞ː sʰ o̞ k̚
계속하다	k j e̞ː sʰ o̞ kʰ a̠ d a̠
계수	k j e̞ː sʰ u
계승	k j e̞ sʰ ɯ ŋ
계시	k j e̞ː ɕʰ i
계시다	k j e̞ː ɕʰ i d a̠
계약	k j e̞ː j a̠ k̚
계열	k j e̞ j ʌ̹ ɭ
계절	k j e̞ː d͡ʑ ʌ̹ ɭ
계절적	k j e̞ː d͡ʑ ʌ̹ ʎ t͡ɕ͈ ʌ̹ k̚
계정	k j e̞ː d͡ʑ ʌ̹ ŋ
계좌	k j e̞ː d͡ʑ w a̠
계층	k j e̞ t͡ɕʰ ɯ ŋ
계통	k j e̞ː tʰ o̞ ŋ
고가교	k o̞ ɡ a̠ ɡ j o
고고학	k o̞ː ɡ o̞ ɦ a̠ k̚
고관	k o̞ ɡ w a̠ n
고구려	k o̞ ɡ u ɾ j ʌ̹
고구마	k o̞ː ɡ u m a̠
고국	k o̞ː ɡ u k̚
고급	k o̞ ɡ ɯ p̚
고기겹빵	k o̞ ɡ i ɡ j ʌ̹ p̚ p͈ a̠ ŋ
고난	k o̞ n a̠ n
고니	k o̞ n i
고달피다	k o̞ d a̠ ɭ pʰ i d a̠
고독	k o̞ d o̞ k̚
고독하다	k o̞ d o̞ kʰ a̠ d a̠
고등어	k o̞ d ɯ ŋ ʌ̹
고등학교	k o̞ d ɯ ŋ ɦ a̠ k̚ k͈ j o
고라니	k o̞ ɾ a̠ n i
고량주	k o̞ ɾ j a̠ ŋ d͡ʑ u
고려	k o̞ ɾ j ʌ̹
고려말	k o̞ ɾ j ʌ̹ m a̠ ɭ
고루	k o̞ ɾ u
고르다	k o̞ ɾ ɯ d a̠
고리	k o̞ ɾ i
고릴라	k o̞ ɾ i ɭ ɭ a̠
고마워	k o̞ m a̠ w ʌ̹
고맙다	k o̞ː m a̠ p̚ t͈ a̠
고맙습니다	k o̞ m a̠ p s͈ ɯ m n i d a̠
고모	k o̞ m o̞
고모부	k o̞ m o̞ b u
고무신	k o̞ m u ɕʰ i n
고문	k o̞ m u n
고민	k o̞ m i n
고민하다	k o̞ m i n ɦ a̠ d a̠
고바야시박쥐	k o̞ b a̠ j a̠ ɕʰ i b a̠ k̚ t͡ɕ͈ ɥ i
고발	k o̞ː b a̠ ɭ
고방오리	k o̞ b a̠ ŋ o̞ ɾ i
고삐	k o̞ p͈ i
고사기	k o̞ː sʰ a̠ ɡ i
고사리	k o̞ sʰ a̠ ɾ i
고사성어	k o̞ː sʰ a̠ sʰ ʌ̹ ŋ ʌ̹
고사포	k o̞ sʰ a̠ pʰ o̞
고산	k o̞ sʰ a̠ n
고속버스	k o̞ sʰ o̞ k̚ p͈ ʌ̹ sʰ ɯ
고수	k o̞ sʰ u
고순쥐	k o̞ sʰ u ɲ d͡ʑ ɥ i
고스트	k o̞ sʰ ɯ tʰ ɯ
고시	k o̞ː ɕʰ i
고아	k o̞ a̠
고아원	k o̞ a̠ w ʌ̹ n
고양이	k o̞ j a̠ ŋ i
고어	k o̞ː ʌ̹
고온	k o̞ o̞ n
고요	k o̞ j o
고용	k o̞ j o ŋ
고을	k o̞ ɯ ɭ
고저	k o̞ d͡ʑ ʌ̹
고전	k o̞ː d͡ʑ ʌ̹ n
고전적	k o̞ː d͡ʑ ʌ̹ ɲ d͡ʑ ʌ̹ k̚
고정	k o̞ d͡ʑ ʌ̹ ŋ
고정되다	k o̞ d͡ʑ ʌ̹ ŋ d w e̞ d a̠
고조	k o̞ d͡ʑ o̞
고조선	k o̞ː d͡ʑ o̞ sʰ ʌ̹ n
고지	k o̞ d͡ʑ i
고지리학	k o̞ː d͡ʑ i ɾ i ɦ a̠ k̚
고지식하다	k o̞ d͡ʑ i ɕʰ i kʰ a̠ d a̠
고질병	k o̞ d͡ʑ i ɭ p͈ j ʌ̹ ŋ
고집	k o̞ d͡ʑ i p̚
고집스럽다	k o̞ d͡ʑ i p s͈ ɯ ɾ ʌ̹ p̚ t͈ a̠
고집하다	k o̞ d͡ʑ i pʰ a̠ d a̠
고추장	k o̞ t͡ɕʰ u d͡ʑ a̠ ŋ
고춧가루	k o̞ t͡ɕʰ u t̚ k͈ a̠ ɾ u
고통	k o̞ tʰ o̞ ŋ
고통스럽다	k o̞ tʰ o̞ ŋ sʰ ɯ ɾ ʌ̹ p̚ t͈ a̠
고투	k o̞ː tʰ u
고프다	k o̞ pʰ ɯ d a̠
고혈압	k o̞ ʝ j ʌ̹ ɾ a̠ p̚
고환	k o̞ β w a̠ n
곡물	k o̞ ŋ m u ɭ
곡식	k o̞ k ɕ͈ i k̚
곡예사	k o̞ ɡ j e̞ sʰ a̠
곡조	k o̞ k̚ t͡ɕ͈ o̞
곤란	k o̞ː ɭ ɭ a̠ n
곤란하다	k o̞ː ɭ ɭ a̠ n ɦ a̠ d a̠
곤이	k o̞ n i
